anatomy,finding,ctclip_auc,ctclip_sig,merlin_auc,merlin_sig,fvlm_auc,fvlm_sig,radar_auc
Liver,Undulating contour,0.715,***,0.695,***,0.943,***,0.97
Liver,Intrahepatic cholangiocarcinoma,0.763,***,0.93,***,0.897,***,0.967
Liver,Cirrhosis,0.853,***,0.853,***,0.971,,0.965
Liver,Periportal edema,0.81,***,0.589,***,0.907,***,0.955
Liver,Steatotic liver disease,0.924,***,0.832,***,0.889,***,0.941
Liver,Hepatocellular carcinoma,0.811,***,0.84,***,0.767,***,0.939
Liver,Metastasis,0.569,***,0.836,***,0.79,***,0.928
Liver,Intrahepatic bile duct dilatation,0.723,***,0.815,***,0.762,***,0.927
Liver,Intrahepatic calcification,0.509,***,0.75,***,0.491,***,0.919
Liver,Cyst,0.595,***,0.698,***,0.593,***,0.902
Liver,Hypoattenuating lesion,0.522,***,0.759,***,0.601,***,0.9
Liver,Irregular margin,0.808,***,0.801,***,0.884,**,0.9
Liver,Hyperattenuating lesion in intrahepatic bile ducts,0.567,***,0.787,***,0.778,***,0.894
Liver,Hepatolithiasis,0.653,***,0.786,***,0.556,***,0.888
Liver,Abscess,0.724,***,0.818,*,0.889,,0.873
Liver,Nodular enhancement,0.562,***,0.613,***,0.581,***,0.846
Liver,Lobar volume disproportion,0.697,***,0.745,***,0.799,***,0.84
Liver,Hemangioma,0.513,***,0.59,***,0.544,***,0.824
Gallbladder,Cholangiocarcinoma,0.612,***,0.88,***,0.895,***,0.987
Gallbladder,Gallbladder cancer,0.528,***,0.881,***,0.581,***,0.984
Gallbladder,Pneumobilia,0.735,***,0.892,*,0.908,*,0.974
Gallbladder,Xanthogranuloma,0.676,**,0.739,***,0.813,***,0.974
Gallbladder,Cholecystolithiasis,0.581,***,0.761,***,0.675,***,0.972
Gallbladder,Hyperattenuating lesion,0.6,***,0.791,***,0.68,***,0.935
Gallbladder,Nodular stone-like hyperattenuating lesion,0.497,***,0.662,***,0.674,***,0.93
Gallbladder,Extrahepatic bile duct dilatation,0.66,***,0.78,***,0.79,***,0.912
Gallbladder,Cholecystitis,0.634,***,0.723,***,0.727,***,0.905
Gallbladder,Extrahepatic bile duct stone,0.699,***,0.781,***,0.709,***,0.905
Gallbladder,Extrahepatic bile duct wall thickening,0.764,***,0.873,,0.897,,0.902
Gallbladder,Adenomyomatosis,0.529,***,0.536,***,0.575,***,0.897
Gallbladder,Cholangitis,0.551,***,0.735,**,0.821,,0.892
Gallbladder,Distention,0.703,***,0.718,***,0.807,**,0.835
