group,reader_id,experience_years,abdominal_ct_per_year,gender,age
"Top-tier hospitals, senior (G1)",G1-1,20,5000,male,43
"Top-tier hospitals, senior (G1)",G1-2,18,4000,male,42
"Top-tier hospitals, senior (G1)",G1-3,13,2000,female,44
"Top-tier hospitals, senior (G1)",G1-4,13,2000,female,40
"Top-tier hospitals, junior (G2)",G2-1,7,1000,male,35
"Top-tier hospitals, junior (G2)",G2-2,5,3000,male,31
"Top-tier hospitals, junior (G2)",G2-3,5,350,female,30
"Top-tier hospitals, junior (G2)",G2-4,3,500,male,28
"Top-tier hospitals, junior (G2)",G2-5,2,400,male,25
"Top-tier hospitals, junior (G2)",G2-6,5,2000,male,32
"Other hospitals, senior (G3)",G3-1,35,500,male,57
"Other hospitals, senior (G3)",G3-2,18,500,male,44
"Other hospitals, senior (G3)",G3-3,32,1500,male,52
"Other hospitals, senior (G3)",G3-4,40,500,male,59
"Other hospitals, senior (G3)",G3-5,26,500,male,48
"Other hospitals, senior (G3)",G3-6,27,2000,male,47
"Other hospitals, senior (G3)",G3-7,20,800,male,45
"Other hospitals, junior (G4)",G4-1,4,250,female,27
"Other hospitals, junior (G4)",G4-2,4,800,female,29
"Other hospitals, junior (G4)",G4-3,4,700,male,29
"Other hospitals, junior (G4)",G4-4,8,500,male,39
"Other hospitals, junior (G4)",G4-5,2,350,female,27
"Other hospitals, junior (G4)",G4-6,6,350,male,33
"Other hospitals, junior (G4)",G4-7,10,350,female,39
"Other hospitals, junior (G4)",G4-8,5,800,female,28
"Other hospitals, junior (G4)",G4-9,2,400,female,26
