grupo,momento,panel,metrica,unidad,valor
SHAM,1 semana,Fig.1f,cruces_plataforma,conteo,3.0
SHAM,1 semana,Fig.1f,cruces_plataforma,conteo,3.0
SHAM,1 semana,Fig.1f,cruces_plataforma,conteo,1.0
SHAM,1 semana,Fig.1f,cruces_plataforma,conteo,1.0
SHAM,1 semana,Fig.1f,cruces_plataforma,conteo,4.0
SHAM,1 semana,Fig.1f,cruces_plataforma,conteo,3.0
SHAM,1 semana,Fig.1f,cruces_plataforma,conteo,5.0
SHAM,1 semana,Fig.1f,cruces_plataforma,conteo,4.0
SHAM,1 semana,Fig.1f,cruces_plataforma,conteo,5.0
SHAM,1 semana,Fig.1f,cruces_plataforma,conteo,1.0
SHAM,1 semana,Fig.1f,cruces_plataforma,conteo,4.0
SHAM,1 semana,Fig.1f,cruces_plataforma,conteo,3.0
SHAM,1 semana,Fig.1f,cruces_plataforma,conteo,1.0
SHAM,1 semana,Fig.1f,cruces_plataforma,conteo,3.0
SHAM,1 semana,Fig.1f,cruces_plataforma,conteo,2.0
SHAM,1 semana,Fig.1f,cruces_plataforma,conteo,1.0
SHAM,1 semana,Fig.1f,cruces_plataforma,conteo,2.0
SHAM,1 semana,Fig.1f,cruces_plataforma,conteo,2.0
SHAM,1 semana,Fig.1f,cruces_plataforma,conteo,2.0
SHAM,1 semana,Fig.1f,cruces_plataforma,conteo,1.0
SHAM,1 semana,Fig.1f,cruces_plataforma,conteo,2.0
SHAM,1 semana,Fig.1f,cruces_plataforma,conteo,2.0
SHAM,1 semana,Fig.1f,cruces_plataforma,conteo,1.0
SHAM,1 semana,Fig.1f,cruces_plataforma,conteo,1.0
TBI,1 semana,Fig.1f,cruces_plataforma,conteo,0.0
TBI,1 semana,Fig.1f,cruces_plataforma,conteo,1.0
TBI,1 semana,Fig.1f,cruces_plataforma,conteo,0.0
TBI,1 semana,Fig.1f,cruces_plataforma,conteo,0.0
TBI,1 semana,Fig.1f,cruces_plataforma,conteo,1.0
TBI,1 semana,Fig.1f,cruces_plataforma,conteo,0.0
TBI,1 semana,Fig.1f,cruces_plataforma,conteo,1.0
TBI,1 semana,Fig.1f,cruces_plataforma,conteo,0.0
TBI,1 semana,Fig.1f,cruces_plataforma,conteo,0.0
TBI,1 semana,Fig.1f,cruces_plataforma,conteo,1.0
TBI,1 semana,Fig.1f,cruces_plataforma,conteo,0.0
TBI,1 semana,Fig.1f,cruces_plataforma,conteo,0.0
TBI,1 semana,Fig.1f,cruces_plataforma,conteo,2.0
TBI,1 semana,Fig.1f,cruces_plataforma,conteo,2.0
TBI,1 semana,Fig.1f,cruces_plataforma,conteo,0.0
TBI,1 semana,Fig.1f,cruces_plataforma,conteo,0.0
TBI,1 semana,Fig.1f,cruces_plataforma,conteo,0.0
TBI,1 semana,Fig.1f,cruces_plataforma,conteo,0.0
TBI,1 semana,Fig.1f,cruces_plataforma,conteo,0.0
TBI,1 semana,Fig.1f,cruces_plataforma,conteo,0.0
TBI,1 semana,Fig.1f,cruces_plataforma,conteo,0.0
TBI,1 semana,Fig.1f,cruces_plataforma,conteo,0.0
TBI,1 semana,Fig.1f,cruces_plataforma,conteo,1.0
TBI,1 semana,Fig.1f,cruces_plataforma,conteo,0.0
TBI+LOAD,1 semana,Fig.1f,cruces_plataforma,conteo,3.0
TBI+LOAD,1 semana,Fig.1f,cruces_plataforma,conteo,2.0
TBI+LOAD,1 semana,Fig.1f,cruces_plataforma,conteo,0.0
TBI+LOAD,1 semana,Fig.1f,cruces_plataforma,conteo,2.0
TBI+LOAD,1 semana,Fig.1f,cruces_plataforma,conteo,2.0
TBI+LOAD,1 semana,Fig.1f,cruces_plataforma,conteo,2.0
TBI+LOAD,1 semana,Fig.1f,cruces_plataforma,conteo,1.0
TBI+LOAD,1 semana,Fig.1f,cruces_plataforma,conteo,2.0
TBI+LOAD,1 semana,Fig.1f,cruces_plataforma,conteo,3.0
TBI+LOAD,1 semana,Fig.1f,cruces_plataforma,conteo,1.0
TBI+LOAD,1 semana,Fig.1f,cruces_plataforma,conteo,6.0
TBI+LOAD,1 semana,Fig.1f,cruces_plataforma,conteo,2.0
TBI+LOAD,1 semana,Fig.1f,cruces_plataforma,conteo,1.0
TBI+LOAD,1 semana,Fig.1f,cruces_plataforma,conteo,1.0
TBI+LOAD,1 semana,Fig.1f,cruces_plataforma,conteo,1.0
TBI+LOAD,1 semana,Fig.1f,cruces_plataforma,conteo,3.0
TBI+LOAD,1 semana,Fig.1f,cruces_plataforma,conteo,3.0
TBI+LOAD,1 semana,Fig.1f,cruces_plataforma,conteo,1.0
TBI+LOAD,1 semana,Fig.1f,cruces_plataforma,conteo,1.0
TBI+LOAD,1 semana,Fig.1f,cruces_plataforma,conteo,1.0
TBI+LOAD,1 semana,Fig.1f,cruces_plataforma,conteo,1.0
TBI+LOAD,1 semana,Fig.1f,cruces_plataforma,conteo,1.0
TBI+LOAD,1 semana,Fig.1f,cruces_plataforma,conteo,2.0
TBI+LOAD,1 semana,Fig.1f,cruces_plataforma,conteo,2.0
SHAM,8 semanas,Fig.1f,cruces_plataforma,conteo,3.0
SHAM,8 semanas,Fig.1f,cruces_plataforma,conteo,3.0
SHAM,8 semanas,Fig.1f,cruces_plataforma,conteo,5.0
SHAM,8 semanas,Fig.1f,cruces_plataforma,conteo,3.0
SHAM,8 semanas,Fig.1f,cruces_plataforma,conteo,3.0
SHAM,8 semanas,Fig.1f,cruces_plataforma,conteo,4.0
SHAM,8 semanas,Fig.1f,cruces_plataforma,conteo,2.0
SHAM,8 semanas,Fig.1f,cruces_plataforma,conteo,2.0
SHAM,8 semanas,Fig.1f,cruces_plataforma,conteo,3.0
SHAM,8 semanas,Fig.1f,cruces_plataforma,conteo,2.0
SHAM,8 semanas,Fig.1f,cruces_plataforma,conteo,2.0
SHAM,8 semanas,Fig.1f,cruces_plataforma,conteo,3.0
TBI,8 semanas,Fig.1f,cruces_plataforma,conteo,2.0
TBI,8 semanas,Fig.1f,cruces_plataforma,conteo,1.0
TBI,8 semanas,Fig.1f,cruces_plataforma,conteo,1.0
TBI,8 semanas,Fig.1f,cruces_plataforma,conteo,2.0
