grupo,panel,metrica,unidad,valor
Piezo1fl/fl TBI,Fig.3d,tiempo_giro,s,3.0
Piezo1fl/fl TBI,Fig.3d,tiempo_giro,s,5.0
Piezo1fl/fl TBI,Fig.3d,tiempo_giro,s,4.0
Piezo1fl/fl TBI,Fig.3d,tiempo_giro,s,5.0
Piezo1fl/fl TBI,Fig.3d,tiempo_giro,s,2.0
Piezo1fl/fl TBI,Fig.3d,tiempo_giro,s,3.0
Piezo1fl/fl TBI,Fig.3d,tiempo_giro,s,2.0
Piezo1fl/fl TBI,Fig.3d,tiempo_giro,s,2.0
Piezo1fl/fl TBI,Fig.3d,tiempo_giro,s,3.0
Piezo1fl/fl TBI,Fig.3d,tiempo_giro,s,6.0
Piezo1fl/fl TBI,Fig.3d,tiempo_giro,s,2.0
Piezo1fl/fl TBI,Fig.3d,tiempo_giro,s,2.0
Piezo1fl/fl TBI,Fig.3d,tiempo_giro,s,2.0
Piezo1fl/fl TBI,Fig.3d,tiempo_giro,s,3.0
Piezo1fl/fl TBI+LOAD,Fig.3d,tiempo_giro,s,2.0
Piezo1fl/fl TBI+LOAD,Fig.3d,tiempo_giro,s,1.0
Piezo1fl/fl TBI+LOAD,Fig.3d,tiempo_giro,s,1.0
Piezo1fl/fl TBI+LOAD,Fig.3d,tiempo_giro,s,2.0
Piezo1fl/fl TBI+LOAD,Fig.3d,tiempo_giro,s,2.0
Piezo1fl/fl TBI+LOAD,Fig.3d,tiempo_giro,s,1.0
Piezo1fl/fl TBI+LOAD,Fig.3d,tiempo_giro,s,1.0
Piezo1fl/fl TBI+LOAD,Fig.3d,tiempo_giro,s,1.0
Piezo1fl/fl TBI+LOAD,Fig.3d,tiempo_giro,s,2.0
Piezo1fl/fl TBI+LOAD,Fig.3d,tiempo_giro,s,1.0
Piezo1fl/fl TBI+LOAD,Fig.3d,tiempo_giro,s,1.0
Piezo1fl/fl TBI+LOAD,Fig.3d,tiempo_giro,s,1.0
Piezo1fl/fl TBI+LOAD,Fig.3d,tiempo_giro,s,1.0
Piezo1fl/fl TBI+LOAD,Fig.3d,tiempo_giro,s,1.0
Piezo1-Sost-Cre TBI,Fig.3d,tiempo_giro,s,5.0
Piezo1-Sost-Cre TBI,Fig.3d,tiempo_giro,s,3.0
Piezo1-Sost-Cre TBI,Fig.3d,tiempo_giro,s,4.0
Piezo1-Sost-Cre TBI,Fig.3d,tiempo_giro,s,2.0
Piezo1-Sost-Cre TBI,Fig.3d,tiempo_giro,s,4.0
Piezo1-Sost-Cre TBI,Fig.3d,tiempo_giro,s,3.0
Piezo1-Sost-Cre TBI,Fig.3d,tiempo_giro,s,2.0
Piezo1-Sost-Cre TBI,Fig.3d,tiempo_giro,s,2.0
Piezo1-Sost-Cre TBI,Fig.3d,tiempo_giro,s,2.0
Piezo1-Sost-Cre TBI,Fig.3d,tiempo_giro,s,2.0
Piezo1-Sost-Cre TBI,Fig.3d,tiempo_giro,s,2.0
Piezo1-Sost-Cre TBI,Fig.3d,tiempo_giro,s,1.0
Piezo1-Sost-Cre TBI,Fig.3d,tiempo_giro,s,1.0
Piezo1-Sost-Cre TBI,Fig.3d,tiempo_giro,s,2.0
Piezo1-Sost-Cre TBI+LOAD,Fig.3d,tiempo_giro,s,3.0
Piezo1-Sost-Cre TBI+LOAD,Fig.3d,tiempo_giro,s,3.0
Piezo1-Sost-Cre TBI+LOAD,Fig.3d,tiempo_giro,s,3.0
Piezo1-Sost-Cre TBI+LOAD,Fig.3d,tiempo_giro,s,2.0
Piezo1-Sost-Cre TBI+LOAD,Fig.3d,tiempo_giro,s,3.0
Piezo1-Sost-Cre TBI+LOAD,Fig.3d,tiempo_giro,s,6.0
Piezo1-Sost-Cre TBI+LOAD,Fig.3d,tiempo_giro,s,2.0
Piezo1-Sost-Cre TBI+LOAD,Fig.3d,tiempo_giro,s,6.0
Piezo1-Sost-Cre TBI+LOAD,Fig.3d,tiempo_giro,s,2.0
Piezo1-Sost-Cre TBI+LOAD,Fig.3d,tiempo_giro,s,2.0
Piezo1-Sost-Cre TBI+LOAD,Fig.3d,tiempo_giro,s,2.0
Piezo1-Sost-Cre TBI+LOAD,Fig.3d,tiempo_giro,s,2.0
Piezo1-Sost-Cre TBI+LOAD,Fig.3d,tiempo_giro,s,3.0
Piezo1-Sost-Cre TBI+LOAD,Fig.3d,tiempo_giro,s,2.0
Piezo1-Sost-Cre TBI+LOAD,Fig.3d,tiempo_giro,s,2.0
Piezo1-Sost-Cre TBI+LOAD,Fig.3d,tiempo_giro,s,2.0
Piezo1-Sost-Cre TBI+LOAD,Fig.3d,tiempo_giro,s,3.0
Piezo1fl/fl TBI,Fig.3e,tiempo_total,s,9.0
Piezo1fl/fl TBI,Fig.3e,tiempo_total,s,9.0
Piezo1fl/fl TBI,Fig.3e,tiempo_total,s,8.0
Piezo1fl/fl TBI,Fig.3e,tiempo_total,s,11.0
Piezo1fl/fl TBI,Fig.3e,tiempo_total,s,7.0
Piezo1fl/fl TBI,Fig.3e,tiempo_total,s,7.0
Piezo1fl/fl TBI,Fig.3e,tiempo_total,s,6.0
Piezo1fl/fl TBI,Fig.3e,tiempo_total,s,7.0
Piezo1fl/fl TBI,Fig.3e,tiempo_total,s,9.0
Piezo1fl/fl TBI,Fig.3e,tiempo_total,s,11.0
Piezo1fl/fl TBI,Fig.3e,tiempo_total,s,6.0
Piezo1fl/fl TBI,Fig.3e,tiempo_total,s,7.0
Piezo1fl/fl TBI,Fig.3e,tiempo_total,s,6.0
Piezo1fl/fl TBI,Fig.3e,tiempo_total,s,8.0
Piezo1fl/fl TBI+LOAD,Fig.3e,tiempo_total,s,5.0
Piezo1fl/fl TBI+LOAD,Fig.3e,tiempo_total,s,5.0
Piezo1fl/fl TBI+LOAD,Fig.3e,tiempo_total,s,5.0
Piezo1fl/fl TBI+LOAD,Fig.3e,tiempo_total,s,5.0
Piezo1fl/fl TBI+LOAD,Fig.3e,tiempo_total,s,6.0
Piezo1fl/fl TBI+LOAD,Fig.3e,tiempo_total,s,5.0
Piezo1fl/fl TBI+LOAD,Fig.3e,tiempo_total,s,4.0
Piezo1fl/fl TBI+LOAD,Fig.3e,tiempo_total,s,4.0
Piezo1fl/fl TBI+LOAD,Fig.3e,tiempo_total,s,5.0
Piezo1fl/fl TBI+LOAD,Fig.3e,tiempo_total,s,5.0
Piezo1fl/fl TBI+LOAD,Fig.3e,tiempo_total,s,5.0
Piezo1fl/fl TBI+LOAD,Fig.3e,tiempo_total,s,5.0
Piezo1fl/fl TBI+LOAD,Fig.3e,tiempo_total,s,5.0
Piezo1fl/fl TBI+LOAD,Fig.3e,tiempo_total,s,4.0
Piezo1-Sost-Cre TBI,Fig.3e,tiempo_total,s,10.0
Piezo1-Sost-Cre TBI,Fig.3e,tiempo_total,s,9.0
Piezo1-Sost-Cre TBI,Fig.3e,tiempo_total,s,11.0
Piezo1-Sost-Cre TBI,Fig.3e,tiempo_total,s,7.0
Piezo1-Sost-Cre TBI,Fig.3e,tiempo_total,s,11.0
