grupo,panel,metrica,unidad,valor
PBS,Fig.4b,tiempo_giro,s,2.0
PBS,Fig.4b,tiempo_giro,s,3.0
PBS,Fig.4b,tiempo_giro,s,2.0
PBS,Fig.4b,tiempo_giro,s,2.0
PBS,Fig.4b,tiempo_giro,s,1.0
PBS,Fig.4b,tiempo_giro,s,2.0
PBS,Fig.4b,tiempo_giro,s,2.0
PBS,Fig.4b,tiempo_giro,s,2.0
PBS,Fig.4b,tiempo_giro,s,2.0
PBS,Fig.4b,tiempo_giro,s,3.0
PBS,Fig.4b,tiempo_giro,s,3.0
PBS,Fig.4b,tiempo_giro,s,2.0
PBS,Fig.4b,tiempo_giro,s,3.0
PBS,Fig.4b,tiempo_giro,s,3.0
suero TBI,Fig.4b,tiempo_giro,s,3.0
suero TBI,Fig.4b,tiempo_giro,s,2.0
suero TBI,Fig.4b,tiempo_giro,s,2.0
suero TBI,Fig.4b,tiempo_giro,s,2.0
suero TBI,Fig.4b,tiempo_giro,s,2.0
suero TBI,Fig.4b,tiempo_giro,s,2.0
suero TBI,Fig.4b,tiempo_giro,s,1.0
suero TBI,Fig.4b,tiempo_giro,s,2.0
suero TBI,Fig.4b,tiempo_giro,s,3.0
suero TBI,Fig.4b,tiempo_giro,s,2.0
suero TBI,Fig.4b,tiempo_giro,s,2.0
suero TBI,Fig.4b,tiempo_giro,s,3.0
suero TBI,Fig.4b,tiempo_giro,s,2.0
suero TBI,Fig.4b,tiempo_giro,s,2.0
suero TBI,Fig.4b,tiempo_giro,s,4.0
suero TBI+LOAD,Fig.4b,tiempo_giro,s,1.0
suero TBI+LOAD,Fig.4b,tiempo_giro,s,2.0
suero TBI+LOAD,Fig.4b,tiempo_giro,s,1.0
suero TBI+LOAD,Fig.4b,tiempo_giro,s,1.0
suero TBI+LOAD,Fig.4b,tiempo_giro,s,1.0
suero TBI+LOAD,Fig.4b,tiempo_giro,s,1.0
suero TBI+LOAD,Fig.4b,tiempo_giro,s,1.0
suero TBI+LOAD,Fig.4b,tiempo_giro,s,1.0
suero TBI+LOAD,Fig.4b,tiempo_giro,s,2.0
suero TBI+LOAD,Fig.4b,tiempo_giro,s,1.0
suero TBI+LOAD,Fig.4b,tiempo_giro,s,1.0
suero TBI+LOAD,Fig.4b,tiempo_giro,s,2.0
suero TBI+LOAD,Fig.4b,tiempo_giro,s,1.0
suero TBI+LOAD,Fig.4b,tiempo_giro,s,2.0
suero TBI+LOAD,Fig.4b,tiempo_giro,s,2.0
suero TBI+LOAD,Fig.4b,tiempo_giro,s,2.0
