tipo_medida,unidad,poblacion,indicador,media,ic95_inf,ic95_sup
demographic,years,clientes_banco,Age,49.9369260639135,49.6786629155522,50.1951892122749
demographic,years,clientas_banco,Age,50.2862205765671,50.0202722687791,50.552168884355
demographic,rank,clientes_banco,Deprivation rank,14021.2295693277,13879.2859508869,14163.1731877686
demographic,rank,clientas_banco,Deprivation rank,14044.3629429525,13901.6882229328,14187.0376629722
demographic,binary,clientes_banco,Male,0.487648770166623,0.480523248332519,0.494774292000727
demographic,binary,clientas_banco,Male,0.0,0.0,0.0
demographic,binary,clientes_banco,region_East Midlands,0.0739806641445986,0.0703470193294897,0.0777862937395349
demographic,binary,clientas_banco,region_East Midlands,0.0710046629927936,0.0674265668191225,0.0747574153975078
demographic,binary,clientes_banco,region_East of England,0.0894283312316099,0.0854561893932033,0.0935662151418422
demographic,binary,clientas_banco,region_East of England,0.0845697329376855,0.080683650877005,0.0886249420691648
demographic,binary,clientes_banco,region_London,0.0992013451029844,0.0950345371584328,0.103529946924735
demographic,binary,clientas_banco,region_London,0.100996184824078,0.0967776220851119,0.105377181968532
demographic,binary,clientes_banco,region_North East,0.0473938629676335,0.0444648681210598,0.0505055989410668
demographic,binary,clientas_banco,region_North East,0.0497562526494277,0.0467440447846063,0.0529517862011757
demographic,binary,clientes_banco,region_North West,0.110077763766288,0.105709197470911,0.114603730759936
demographic,binary,clientas_banco,region_North West,0.108944467994913,0.104578189192969,0.113469943533742
demographic,binary,clientes_banco,region_Northern Ireland,0.0119798234552333,0.0105287030407224,0.0136281901515024
demographic,binary,clientas_banco,region_Northern Ireland,0.0113395506570581,0.0099242439608222,0.0129540548717844
demographic,binary,clientes_banco,region_Scotland,0.0947877259352669,0.0907071534216025,0.0990318752863935
demographic,binary,clientas_banco,region_Scotland,0.0969690546841882,0.0928284249315864,0.101273759416844
demographic,binary,clientes_banco,region_South East,0.128572929802438,0.123891927859475,0.133403863227849
demographic,binary,clientas_banco,region_South East,0.132683340398474,0.12791776564167,0.137598443830194
demographic,binary,clientes_banco,region_South West,0.100409836065574,0.0962198739455352,0.104761103895706
demographic,binary,clientas_banco,region_South West,0.0998304366256889,0.0956342111366267,0.104189571411641
demographic,binary,clientes_banco,region_Wales,0.0499159310634721,0.0469113192576173,0.0531022624542024
demographic,binary,clientas_banco,region_Wales,0.0516108520559559,0.0485441118539245,0.0548601605783131
demographic,binary,clientes_banco,region_West Midlands,0.105769230769231,0.101478844415528,0.110218758031278
demographic,binary,clientas_banco,region_West Midlands,0.102373887240356,0.0981291539131511,0.106780493749459
demographic,binary,clientes_banco,region_Yorkshire and The Humber,0.0884825556956705,0.0845299941532198,0.0926012414370891
demographic,binary,clientas_banco,region_Yorkshire and The Humber,0.0899215769393811,0.0859227765009819,0.09408732366891
non-transactional,count,clientes_banco,Address Change,0.0077701300745531,0.0073942658398358,0.0081459943092704
non-transactional,count,clientas_banco,Address Change,0.0076310550763105,0.0072570393850962,0.0080050707675248
non-transactional,count,clientes_banco,Branch,0.0804582898082032,0.0784664338016297,0.0824501458147767
non-transactional,count,clientas_banco,Branch,0.0797293788407721,0.0777497330736293,0.0817090246079148
non-transactional,count,clientes_banco,Complaints,0.0015359004812806,0.0013532946342658,0.0017185063282953
non-transactional,count,clientas_banco,Complaints,0.0011684602290759,0.001008875698682,0.0013280447594698
non-transactional,binary,clientes_banco,Credit Card,0.518127918568655,0.515988995870864,0.520266841266446
non-transactional,binary,clientas_banco,Credit Card,0.481920121558332,0.47977255398113,0.484067689135534
non-transactional,score,clientes_banco,Credit Score,959.557697370079,957.007388074357,962.1080066658
non-transactional,score,clientas_banco,Credit Score,960.172867856619,957.515687612737,962.8300481005
non-transactional,pounds,clientes_banco,Credit turnover,3852.66991423221,3771.56266672429,3933.77716174014
non-transactional,pounds,clientas_banco,Credit turnover,3706.38005613396,3575.88804490846,3836.87206735946
non-transactional,count,clientes_banco,Fraud,0.0039780776440622,0.0036796880398255,0.0042764672482988
non-transactional,count,clientas_banco,Fraud,0.0042987796082051,0.0039898933155052,0.0046076659009051
non-transactional,count,clientes_banco,Internet Banking,25.2058822126507,25.0416644295413,25.37009999576
