anio,fertilizante_molH_ha,estiercol_molH_ha,deposicion_N_molH_ha,deposicion_S_molH_ha,mineralizacion_N_suelo_molH_ha,fijacion_biologica_N_molH_ha,acidez_total_molH_ha,acidez_total_sd_molH_ha,cal_alcalinidad_mol_ha,cal_alcalinidad_sd_mol_ha,exceso_acidez_molH_ha,acidez_acumulada_Tmol,exceso_acidez_acumulado_Tmol,fraccion_acidez_neutralizada_acum
1900,0.1993863105582361,62.55608015347901,63.30025152037338,149.2722491377021,49.7370694921141,127.199729501971,452.2647661161978,67.9725135311909,3.648337941481873,0.8151946875745854,448.6164281747159,0.1465157250237265,0.1453338092109647,0.008066818852177679
1901,0.2937660484040854,66.46583505526495,63.5593434027133,156.2661506384577,49.7370694921141,131.4249435358635,467.7471081728177,69.43288324495575,3.648337941481873,0.8031474742665988,464.0987702313358,0.29804711065478023,0.2956832790292563,0.007931067073022956
1902,0.4091601619582753,70.37559023196651,63.8184349342997,163.1174938872191,49.7370694921141,135.933131947897,483.3908806554547,70.92042622094304,3.648337941481873,0.7912783018705078,479.7425427139728,0.45464645390517855,0.4511007064668928,0.007798911457088233
1903,0.5437965305725203,74.28534508928014,64.07752687934588,169.9743565439754,49.7370694921141,140.2910672017896,498.9091617370777,72.31172365725081,3.648337941481873,0.7795845353950009,495.2608237955958,0.6162731005719386,0.611545437320891,0.007671376937691999
1904,0.6933952492905283,78.19510015439259,64.33661878254927,176.8357326563456,49.7370694921141,144.8336855154868,514.6316018501789,73.73667123855579,3.648337941481873,0.7680635784155455,510.983263908697,0.7829931900290691,0.7770836109652597,0.007547420768231705
1905,0.8616840607033456,82.10485499545054,64.59571073209824,183.7008407512579,49.7370694921141,149.7193201892865,530.7194802209107,75.20711372819308,3.648337941481873,0.7567128848530533,527.0711422794288,0.9549251096798781,0.9478336148033067,0.007426231444420357
1906,1.040525548697259,83.84252364135025,64.98846651984913,189.3518453362178,49.7370694921141,153.9908137484614,542.9512442866899,76.7404796592437,23.92600844065061,4.889227889861301,519.0252358460393,1.130819632466471,1.115977066234708,0.01312549393875422
1907,1.215623272474102,85.58019289828273,65.35012441572515,196.2941974021541,49.7370694921141,157.8734725477345,556.0506800284846,78.30026415794511,21.92784390836647,4.414687006728663,534.1228361201181,1.310957849365238,1.2890115372988589,0.01674066948605943
1908,1.395785336217188,87.31786117542035,65.68408721267028,201.9481059779493,49.7370694921141,161.3517592592667,567.4346684536379,79.57725253784977,26.66423393758464,5.288920695595286,540.7704345160532,1.494784023944406,1.464199564800782,0.02046078808289504
1909,1.569610898310836,89.05553079028886,65.9932812146509,208.8677711123502,49.7370694921141,165.1931074702364,580.4163709779514,81.10827697343633,44.72172167984918,8.739577070109899,535.6946492981021,1.6828157517744389,1.637743240571176,0.02678398461372679
1910,1.732366845052014,90.79319992190977,66.28023304768644,215.7721201505595,49.7370694921141,162.2815051327242,586.596494590046,80.62570197605758,43.09358755615758,8.29695070997991,543.5029070338884,1.872849592878823,1.8138164800596441,0.03152047716145653
1911,1.895875107307179,92.53086838230543,65.86598121766936,221.4257665519994,49.7370694921141,164.3153056174139,595.7708663688093,80.72825622752883,51.28676235432555,9.728482409446158,544.4841040144837,2.06585556410147,1.990207588190052,0.03661823083179607
1912,2.045401744162955,94.26853720534508,65.47729132925124,227.0861763124761,49.7370694921141,163.4670748141593,602.0815508975088,79.98902489956973,51.65679304736564,9.653864890378937,550.4247578501431,2.260905945122073,2.168523230949415,0.04086092761707946
1913,2.212825999506455,97.3094575672538,65.11179730667034,232.7526775703116,49.7370694921141,164.6891407376892,611.8129686735455,79.9260694082706,57.90895704575359,10.66236329858127,553.9040116277919,2.4591089169208797,2.347966013004088,0.04519641368953969
1914,2.37542439999503,100.3503781475184,64.7674159868044,238.4246856481044,49.7370694921141,165.1620369713069,620.8170106458432,79.66276687218492,71.56173180086195,12.98142986716404,549.2552788449813,2.660228838782024,2.5259027912637633,0.05049417011047892
1915,2.549372485895802,103.3912990656413,64.44230576319036,244.1016870935842,49.7370694921141,168.7460494701775,632.9677833706032,80.236953936976,70.895677119385,12.67054810304418,562.0721062512182,2.865285125818494,2.707991709819607,0.05489625258636512
1916,2.756715781637099,106.4322193490131,62.66104721670271,245.927103049823,49.7370694921141,168.3640599988243,635.8782148881141,80.06089178000046,88.82672957003135,15.64059527257902,547.0514853180828,3.071284276451396,2.885214546975338,0.06058368836213579
1917,3.036008728335726,109.473140209957,61.07482122783779,246.5611141603248,49.7370694921141,171.6416902587432,641.5238440773126,80.75194722923142,65.75090220584451,11.40631286480774,575.772941871468,3.279112385508308,3.071741989189724,0.06323979538945826
1918,3.35759032892218,112.5140606648231,59.65544842490235,248.3999479318373,49.7370694921141,177.1503179991362,650.8144348417354,82.15614346745747,73.80349171126737,12.61404657413152,577.010943130468,3.489950274994142,3.2586704943779092,0.0662702223218988
1919,3.735984217496592,115.5549808066083,58.37992975973276,250.2437465762716,49.7370694921141,181.8577792270956,659.509490079319,83.33147375380501,91.45749475924642,15.40035664859576,568.0519953200726,3.703605015178288,3.442696658211577,0.07044713350841798
1920,4.094105718098781,118.595901346375,57.22930804610733,250.9031898081563,49.7370694921141,180.0133988701502,660.5729732810017,82.77259439415721,85.53700673163992,14.19055831224452,575.0359665493618,3.917604281454269,3.628985349849458,0.07367230349709326
1921,4.508834647788091,120.8765923532167,59.72814821999545,256.3187492897701,49.7370694921141,180.6447606981751,671.8141547010595,82.55721912247758,81.09664085656802,13.2550771569142,590.7175138444915,4.135245241643368,3.820354236637562,0.07614808472173397
1922,4.973794413075362,123.1572823958369,62.07708904830547,260.540024558868,49.7370694921141,177.7266259072669,678.2118858154668,81.33234074816481,58.53395803439972,9.425865629246022,619.6779277810671,4.354958811248372,4.021105141134767,0.07666058040578906
1923,5.528535583973407,125.4379733211523,64.29358479228173,264.756331785304,49.7370694921141,179.2954653369873,689.0489603118128,81.19838779404597,56.23976907462223,8.922587947966635,632.8091912371906,4.578183160259439,4.226110050652688,0.07690236438395325
1924,6.093254581058116,127.7186634211697,66.39248122571416,268.9678686392585,49.7370694921141,179.0035934092926,697.9129307686072,80.6235076078616,71.4185692916759,11.16329532587721,626.4943614769313,4.804279081754955,4.429069207483149,0.07809910038255846
1925,6.678978559722131,129.9993542319369,68.38648548411577,274.3522992289329,49.7370694921141,178.6575781515204,707.8117651483421,80.09862200864134,96.72972867634289,14.89618973707935,611.0820364719992,5.033581830323231,4.627035386435208,0.08076682918690477
1926,7.431738640279526,132.2800441955691,70.47249563868753,275.0408497802257,49.7370694921141,179.2790718751318,714.2412696220078,80.2736343325363,96.72972867634289,14.67604892221535,617.5115409456649,5.264967481607083,4.827084468102842,0.08316917721409782
1927,8.055558366042442,134.5607344517537,72.60120122263184,277.0454911806266,49.7370694921141,181.2375804733023,723.2376351864709,80.91092575818742,105.6677397300599,15.79521570431329,617.569895456411,5.499267596103656,5.027152454301828,0.08585054892333895
1928,8.623906058598152,136.8414247810042,74.77379823764363,279.2009758980849,49.7370694921141,181.6108350757036,730.7880095431486,81.1706643388419,106.4078005938496,15.67077820445374,624.3802089492991,5.7360137304009085,5.22942671013269,0.08831691207141039
1929,9.131116542648293,142.1630359906472,76.99152675739022,280.2176826495659,49.7370694921141,180.2766033502998,738.5170347826654,81.18300982978748,121.4488395268834,17.6215629638019,617.068195255782,5.975263760251243,5.429332165499855,0.09136527133463868
1930,9.641020492016938,147.4846475604296,79.25567485525542,282.6813479122708,49.7370694921141,183.4562358629266,752.2559961750136,82.32201241503819,121.6708572936247,17.39288330979785,630.585138881389,6.2189646649878965,5.633616570862215,0.0941230776597153
1931,7.037157681600418,152.8062582472706,77.3798601196533,279.8262703675824,49.7370694921141,183.1447777099975,749.9313936182183,80.98750558992991,74.82284980324766,10.53787923142348,675.1085438149706,6.461912491318893,5.8523247815773285,0.09433549441601095
