anio,potencial_cdr_GtCO2,potencial_cdr_sd_GtCO2,scepter_P_cdr_GtCO2,scepter_PET_cdr_GtCO2,scepter_incert_min_GtCO2,scepter_incert_max_GtCO2,rio_cdr_GtCO2,rio_cdr_sd_GtCO2,IPCC_emision_acum_GtCO2,EEUU_emision_acum_GtCO2
1900,2.6e-05,5.81e-06,-1.97701781997798e-05,-8.26957825170504e-06,-2.54e-05,-1.36e-07,,,2.600776198087194e-05,1.279070261354358e-05
1901,5.2e-05,1.15e-05,-4.26026087049498e-05,-3.17299798722801e-05,-5.22e-05,-2.35e-05,,,5.201552396174387e-05,2.558140522708715e-05
1902,7.8e-05,1.72e-05,-5.99136011787895e-05,-5.44218123476101e-05,-7.42e-05,-4.29e-05,,,7.802328594261581e-05,3.837210784063072e-05
1903,0.00010403,2.27e-05,-7.23398921088194e-05,-7.42498392747599e-05,-0.0001008,-5.29e-05,,,0.0001040310479234877,5.11628104541743e-05
1904,0.00013004,2.82e-05,-7.83505045345498e-05,-9.23290439767998e-05,-0.0001269,-5.79e-05,,,0.0001300388099043597,6.395351306771788e-05
1905,0.00015605,3.36e-05,-7.7301255561059e-05,-0.000105102061112009,-0.0001509,-5.83e-05,,,0.0001560465718852316,7.674421568126145e-05
1906,0.00032661,6.85e-05,-0.000199521194140624,-0.000259469776710584,-0.0003336,-0.0001563,,,0.0003266069592883857,0.0001606263734205175
1907,0.00048292,9.99e-05,-0.0002913565153412,-0.000384659665591,-0.0004848,-0.0002299,,,0.0004829231104426472,0.0002375031690701544
1908,0.000673,0.00013763,-0.00039158455865562,-0.000536824132710885,-0.0006681,-0.0003118,,,0.0006730033773406512,0.0003309852675445825
1909,0.00099181,0.00019993,-0.000560180465947001,-0.0007898284975416,-0.000971,-0.000448,,,0.000991809340900016,0.0004877750856885325
1910,0.00129901,0.00025908,-0.000705753197638501,-0.00104744119745897,-0.001279,-0.0005664,,,0.001299008889307853,0.000638856830807141
1911,0.00166461,0.00032843,-0.000814491157284601,-0.00130481747042063,-0.0015857,-0.0006559,,,0.001664614797936773,0.000818663015378741
1912,0.00203286,0.00039725,-0.000893768070596051,-0.00158392404705963,-0.0019179,-0.0007217,,,0.002032858529690788,0.0009997664900118631
1913,0.00244567,0.00047326,-0.000984785213382602,-0.00187988284794163,-0.0022655,-0.0007982,,,0.002445671814963029,0.001202789417194932
1914,0.00295581,0.0005658,-0.0011279309619795,-0.00226354586383335,-0.0027178,-0.0009178,,,0.002955811094127461,0.0014536775872758
1915,0.0034612,0.00065612,-0.0011152664273816,-0.00257583224378712,-0.0030886,-0.0009106,,,0.003461202295701509,0.00170223063723025
1916,0.00409442,0.00076762,-0.00119506956228455,-0.00298142966753461,-0.00356,-0.0009807,,,0.004094417879688312,0.002013648137551629
1917,0.00456313,0.00084893,-0.0011047386244239,-0.00321660140188941,-0.0038364,-0.0009109,,,0.004563133728391356,0.00224416412871706
1918,0.00508925,0.00093885,-0.000897785429393102,-0.00340492531527719,-0.0040593,-0.0007463,,,0.005089253752515068,0.002502911681564787
1919,0.00574122,0.00104864,-0.000737101472555003,-0.00366353043558089,-0.0043577,-0.0006198,,,0.00574122316796324,0.002823552377686839
1920,0.00635099,0.0011498,-0.000457551024900904,-0.00387793990054064,-0.0046086,-0.0003957,,,0.006350987435230963,0.003123436443556211
1921,0.0069291,0.00124429,-0.000121032321537604,-0.00403028643804269,-0.0047823,-5.37e-05,,,0.00692909784240152,0.003407753037246649
1922,0.00734637,0.00131148,0.000449849032329644,-0.00381920658222064,-0.0045321,0.000626,,,0.007346366547432357,0.00361296715447493
1923,0.00774728,0.00137509,0.000956657597685592,-0.00366201704569679,-0.0043462,0.00122897,,,0.00774728075861913,0.003810138078009408
1924,0.0082564,0.00145467,0.00132941334046624,-0.00368356049251874,-0.0043701,0.00167581,,,0.008256399480882524,0.004060524334860258
1925,0.00894595,0.00156086,0.00158460874157949,-0.00384898018402429,-0.0045611,0.00198689,,,0.008945952861144996,0.004399648948104096
1926,0.00963551,0.00166548,0.00192069376652789,-0.00393946574926319,-0.0046562,0.0023908,,,0.009635506241407465,0.004738773561347933
1927,0.01038878,0.00177807,0.00232484836434339,-0.00377977534209519,-0.0044614,0.00287535,,,0.01038877566656381,0.005109233934375642
1928,0.01114732,0.00188979,0.00265162686316194,-0.00379607778118019,-0.0044744,0.00326863,,,0.01114732073424711,0.005482288885695299
1929,0.01201309,0.0020154,0.00295275587721898,-0.0037983056036835,-0.0044675,0.00363231,,,0.01201308825960561,0.005908076193248661
1930,0.01288044,0.00213939,0.00302500162596579,-0.00419426408786555,-0.0049207,0.00373093,,,0.01288043847421208,0.006334641872563318
1931,0.01341383,0.00221451,0.00364019276985439,-0.0040960489449008,-0.0047985,0.00445187,,,0.0134138251559357,0.006596963191443786
