paso_modelo,anio,P|solo_acidez|acid_best|sin_cal,P|acidez_cal|acid_best|cal_best,PET|solo_acidez|acid_best|sin_cal,PET|acidez_cal|acid_best|cal_best,P|solo_acidez|acid_+1sd|sin_cal,P|solo_acidez|acid_-1sd|sin_cal,PET|solo_acidez|acid_+1sd|sin_cal,PET|solo_acidez|acid_-1sd|sin_cal,P|acidez_cal|acid_+1sd|cal_best,P|acidez_cal|acid_-1sd|cal_best,PET|acidez_cal|acid_+1sd|cal_best,PET|acidez_cal|acid_-1sd|cal_best,P|acidez_cal|acid_+1sd|cal_+1sd,P|acidez_cal|acid_-1sd|cal_-1sd,PET|acidez_cal|acid_+1sd|cal_+1sd,PET|acidez_cal|acid_-1sd|cal_-1sd,P|acidez_cal|acid_+1sd|cal_-1sd,P|acidez_cal|acid_-1sd|cal_+1sd,PET|acidez_cal|acid_+1sd|cal_-1sd,PET|acidez_cal|acid_-1sd|cal_+1sd
1,1900,1.7856246765786,1.80539485477838,1.240627507935875,1.24889708618758,2.03954449666176,1.52652693549655,1.40146824993801,1.0733419830669,2.059696744656075,1.5470196779508452,1.41258036614702,1.0734777536946851,2.064910928602776,1.54026128734786,1.415363827511905,1.08200985213465,2.052297585855275,1.5512527004616,1.4066845071722551,1.08290067835061
2,1901,2.59542286498728,2.61825529549245,1.710914820523475,1.73437522214405,2.98299388839121,2.20752595387642,1.9516542147671705,1.46703789660483,3.002590130044615,2.230225542145935,1.97765157086104,1.490433956336405,3.0091380148472955,2.2255086272609703,1.984935391764715,1.4870576368356905,3.0008608964479557,2.2350356136999303,1.9730372280375352,1.49894655856787
3,1902,3.469261734776535,3.486572727250375,2.251270054146575,2.273961886621905,3.984881036359895,2.9502927407602453,2.575451279511225,1.9256896840390647,4.002855643243191,2.9670336346111803,2.5967716562607155,1.947924968122725,4.00572989488629,2.9635794253369854,2.602481241065875,1.9423090540175552,3.9980749757564302,2.970584560922955,2.591791677670165,1.9511511778203647
4,1903,4.038339426180725,4.050765717110755,2.832513112957195,2.852341139884345,4.633104101961175,3.445111503167545,3.2351030357380552,2.413418581130425,4.64353236555206,3.45620791106572,3.2591968700529854,2.436483764678245,4.64556997019446,3.455225544649665,3.261724226494425,2.4318610754530647,4.64216528789128,3.4588041516166554,3.254610863626245,2.441999400497095
5,1904,4.425542021414835,4.431552633840566,2.7909735242383804,2.8090527289404204,5.062309601646585,3.78545987845334,3.195054755136715,2.3823269977840056,5.06930609332666,3.79181974587012,3.2165775020903404,2.4038915242762653,5.069806708430681,3.79053673691662,3.22116946740338,2.39895311485894,5.06731992258691,3.79257322899886,3.212177622841475,2.4049909568425103
6,1905,5.444833468598786,5.443784219625295,3.79000761333869,3.802780630473901,6.224008881339035,4.66362245496867,4.337006521521885,3.232168776261515,6.2235671381832605,4.6620023341253605,4.35835056261962,3.247688097980855,6.223381579168031,4.662861694429011,4.3609146969200205,3.24624002655656,6.224384074209101,4.66140133159146,4.355148176584615,3.25088432620662
7,1906,5.5886922767184855,5.710912215298051,3.62328821127439,3.777655926872965,6.37653004369604,4.7994945563380105,4.135716865036586,3.10643712955591,6.49894265718689,4.921178715342865,4.28348032406393,3.2581786821044054,6.523647149720021,4.896325236569195,4.31850012760572,3.2259442811865453,6.474556402629401,4.946108962087861,4.258981556139025,3.28946857797906
8,1907,5.836334297420275,5.928169618620851,3.6761836773411,3.8013735662215153,6.654820995792301,5.0145671793287,4.186562352749876,3.1604072820871103,6.747228733156051,5.106348757888255,4.312031964251911,3.290345971175335,6.76462227336885,5.088592582916215,4.33775347056016,3.258752348577475,6.728466075002051,5.1233682133902,4.288629744070525,3.3111741117895104
9,1908,6.255225305994011,6.355453349308431,4.274172305571935,4.42633677269182,7.137566680475051,5.369381284502886,4.873117758865405,3.6711315024860856,7.23844585490425,5.46917132106808,5.030858637603355,3.821683895899736,7.258010687417601,5.451133687299645,5.0563553614295,3.7956444328365504,7.219459153187651,5.489788558476165,4.99608443127679,3.853658428641805
10,1909,6.80670283522347,6.975298742514851,4.724225599193936,4.977229964024651,7.75298268650295,5.857469682877085,5.369597979359176,4.074291989950456,7.922849674412951,6.025466565861591,5.622859241284335,4.326071726629896,7.954822087657501,5.993408871448035,5.6725500891542,4.27792355784657,7.89074531628645,6.056570735484915,5.57457732234937,4.375007486344555
