anio,caudal_km3,flujo_HCO3_TgC,flujo_HCO3_rellenado_TgC,HCO3_mgC_L,exceso_HCO3_TgC,exceso_HCO3_sd_TgC
1900,453.0,9.1,9.1,20.1,,
1901,,,,,,
1902,,,,,,
1903,,,,,,
1904,,,,,,
1905,,,,,,
1906,,,,,,
1907,,,,,,
1908,,,,,,
1909,,,,,,
1910,415.9,9.1,9.1,21.9,,
1911,460.8,9.7,9.7,21.1,,
1912,617.0,11.8,11.8,19.1,,
1913,487.6,9.7,9.7,19.9,,
1914,361.7,8.0,8.0,22.2,,
1915,646.3,13.8,13.8,21.3,,
1916,613.6,13.0,13.0,21.2,,
1917,540.7,11.6,11.6,21.4,,
1918,431.5,9.7,9.7,22.4,,
1919,536.5,11.1,11.1,20.8,,
1920,598.6,12.0,12.0,20.1,,
1921,462.5,9.7,9.7,21.0,,
1922,556.7,11.6,11.6,20.8,,
1923,487.9,9.4,9.4,19.2,,
1924,537.7,11.1,11.1,20.7,,
1925,394.1,8.2,8.2,20.7,,
1926,546.0,11.6,11.6,21.3,,
1927,753.8,14.2,14.2,18.8,,
1928,593.8,11.0,11.0,18.6,,
1929,650.9,11.9,11.9,18.2,,
1930,347.8,7.0,7.0,20.3,,
1931,283.0,5.7,5.7,20.0,,
1932,497.3,8.7,8.7,17.6,,
1933,537.4,11.1,11.1,20.6,,
1934,288.4,5.9,5.9,20.4,,
1935,601.8,11.3,11.3,18.8,1.0807692307692314,1.7967982451127171
1936,373.7,7.5,7.5,19.9,-2.7192307692307693,1.2431794118172117
1937,572.3,10.4,10.4,18.1,0.180769230769231,1.6700724703712733
1938,525.6,10.2,10.2,19.5,-0.01923076923077,1.656110032896123
1939,498.5,9.6,9.6,19.2,-0.6192307692307697,1.571883127131805
1940,323.2,6.4,6.4,19.7,-3.819230769230769,1.1062125120071635
1941,376.9,8.3,8.3,22.0,-1.9192307692307689,1.433164232904682
1942,,,9.3,,-0.9192307692307686,1.5260603336741234
1943,,,10.5,,0.2807692307692306,1.677353655505455
1944,,,11.7,,1.48076923076923,1.818120253116228
1945,752.0,14.9,14.9,19.8,4.680769230769231,2.2516994576910823
1946,570.8,11.7,11.7,20.6,1.48076923076923,1.8381409300233884
1947,540.9,12.1,12.1,22.4,1.8807692307692303,1.9205505823812556
1948,546.9,11.1,11.1,20.3,0.8807692307692303,1.807121409475606
1949,635.7,12.2,12.2,19.2,1.98076923076923,1.9470059913808395
1950,802.9,14.7,14.7,18.3,4.48076923076923,2.176476678579502
1951,740.4,15.8,15.8,21.3,5.580769230769231,2.4769656821235704
1952,557.5,12.2,12.2,21.8,1.98076923076923,1.9726065024530084
1953,404.7,8.6,8.6,21.2,-1.6192307692307697,1.4594992105397366
1954,301.4,6.6,6.6,21.8,-3.6192307692307697,1.142195629773375
1955,,,9.666666666666666,,-0.5525641025641033,1.568361602524341
1956,387.2,7.6,7.6,19.5,-2.6192307692307697,1.2832968608840294
1957,609.1,11.8,11.8,19.4,1.5807692307692314,1.9178287339652
1958,548.4,11.2,11.2,20.5,0.98076923076923,1.813926659735652
