estacion,anio,n_olas,dias_ola,inicio_dia_del_anio,fin_dia_del_anio,temporada_dias,tipo_primera_ola_1rap_2mod_3len
WH,1979,1.0,5.0,218.0,222.0,5.0,2.0
WH,1980,,,,,,
WH,1981,3.0,12.0,127.0,188.0,62.0,3.0
WH,1982,1.0,4.0,141.0,144.0,4.0,2.0
WH,1983,,,,,,
WH,1984,,,,,,
WH,1985,2.0,6.0,195.0,253.0,59.0,1.0
WH,1986,1.0,5.0,134.0,138.0,5.0,2.0
WH,1987,1.0,3.0,142.0,144.0,3.0,3.0
WH,1988,5.0,22.0,121.0,217.0,97.0,2.0
WH,1989,2.0,6.0,197.0,203.0,7.0,1.0
WH,1990,2.0,10.0,128.0,242.0,115.0,2.0
WH,1991,2.0,6.0,178.0,200.0,23.0,1.0
WH,1992,2.0,6.0,161.0,217.0,57.0,1.0
WH,1993,,,,,,
WH,1994,3.0,11.0,183.0,216.0,34.0,1.0
WH,1995,1.0,8.0,243.0,250.0,8.0,3.0
WH,1996,1.0,3.0,141.0,143.0,3.0,1.0
WH,1997,1.0,5.0,121.0,125.0,5.0,2.0
WH,1998,1.0,3.0,234.0,236.0,3.0,3.0
WH,1999,1.0,6.0,251.0,256.0,6.0,2.0
WH,2000,2.0,6.0,133.0,143.0,11.0,2.0
WH,2001,4.0,15.0,141.0,206.0,66.0,1.0
WH,2002,2.0,11.0,153.0,197.0,45.0,3.0
WH,2003,2.0,10.0,209.0,270.0,62.0,2.0
WH,2004,2.0,6.0,179.0,185.0,7.0,2.0
WH,2005,4.0,13.0,153.0,259.0,107.0,2.0
WH,2006,2.0,8.0,169.0,243.0,75.0,2.0
WH,2007,2.0,6.0,147.0,270.0,124.0,1.0
WH,2008,,,,,,
WH,2009,4.0,17.0,173.0,239.0,67.0,2.0
WH,2010,4.0,16.0,181.0,264.0,84.0,1.0
WH,2011,2.0,7.0,126.0,140.0,15.0,2.0
WH,2012,,,,,,
WH,2013,5.0,26.0,142.0,265.0,124.0,2.0
WH,2014,,,,,,
WH,2015,,,,,,
WH,2016,3.0,13.0,211.0,237.0,27.0,2.0
WH,2017,2.0,11.0,146.0,209.0,64.0,3.0
WH,2018,3.0,11.0,134.0,202.0,69.0,2.0
WH,2019,4.0,20.0,154.0,273.0,120.0,2.0
WH,2020,1.0,3.0,122.0,124.0,3.0,3.0
WH,2021,3.0,12.0,157.0,269.0,113.0,2.0
WH,2022,6.0,32.0,157.0,262.0,106.0,1.0
WH,2023,2.0,7.0,160.0,253.0,94.0,2.0
USE,1979,,,,,,
USE,1980,3.0,17.0,212.0,268.0,57.0,1.0
USE,1981,1.0,4.0,165.0,168.0,4.0,3.0
USE,1982,1.0,4.0,132.0,135.0,4.0,2.0
USE,1983,4.0,22.0,195.0,255.0,61.0,2.0
USE,1984,,,,,,
USE,1985,1.0,6.0,152.0,157.0,6.0,3.0
USE,1986,3.0,19.0,188.0,273.0,86.0,2.0
USE,1987,1.0,6.0,203.0,208.0,6.0,1.0
USE,1988,3.0,10.0,151.0,232.0,82.0,1.0
USE,1989,2.0,6.0,145.0,153.0,9.0,2.0
USE,1990,5.0,16.0,121.0,251.0,131.0,1.0
USE,1991,2.0,8.0,182.0,261.0,80.0,3.0
USE,1992,,,,,,
USE,1993,4.0,16.0,160.0,244.0,85.0,1.0
USE,1994,1.0,3.0,143.0,145.0,3.0,2.0
USE,1995,,,,,,
USE,1996,3.0,10.0,124.0,176.0,53.0,2.0
USE,1997,,,,,,
USE,1998,2.0,6.0,177.0,243.0,67.0,2.0
USE,1999,1.0,3.0,211.0,213.0,3.0,3.0
USE,2000,,,,,,
USE,2001,,,,,,
USE,2002,1.0,4.0,209.0,212.0,4.0,2.0
USE,2003,,,,,,
USE,2004,,,,,,
USE,2005,2.0,9.0,207.0,263.0,57.0,2.0
USE,2006,1.0,4.0,213.0,216.0,4.0,2.0
USE,2007,5.0,35.0,121.0,271.0,151.0,1.0
USE,2008,1.0,8.0,155.0,162.0,8.0,2.0
USE,2009,3.0,10.0,170.0,223.0,54.0,2.0
USE,2010,5.0,27.0,163.0,268.0,106.0,2.0
USE,2011,6.0,33.0,142.0,216.0,75.0,2.0
USE,2012,2.0,11.0,179.0,190.0,12.0,2.0
USE,2013,,,,,,
USE,2014,2.0,13.0,124.0,248.0,125.0,1.0
USE,2015,3.0,17.0,137.0,192.0,56.0,2.0
USE,2016,3.0,10.0,186.0,239.0,54.0,3.0
USE,2017,1.0,3.0,269.0,271.0,3.0,2.0
USE,2018,4.0,19.0,130.0,252.0,123.0,2.0
USE,2019,2.0,15.0,144.0,273.0,130.0,2.0
USE,2020,,,,,,
USE,2021,,,,,,
USE,2022,1.0,3.0,263.0,265.0,3.0,3.0
USE,2023,1.0,3.0,225.0,227.0,3.0,2.0
USW,1979,2.0,11.0,161.0,254.0,94.0,2.0
USW,1980,2.0,6.0,197.0,210.0,14.0,3.0
USW,1981,,,,,,
USW,1982,1.0,3.0,244.0,246.0,3.0,2.0
USW,1983,1.0,8.0,142.0,149.0,8.0,2.0
USW,1984,2.0,11.0,128.0,150.0,23.0,2.0
USW,1985,5.0,17.0,157.0,237.0,81.0,2.0
USW,1986,1.0,3.0,211.0,213.0,3.0,2.0
USW,1987,1.0,3.0,164.0,166.0,3.0,2.0
USW,1988,1.0,4.0,131.0,134.0,4.0,2.0
USW,1989,2.0,9.0,125.0,144.0,20.0,2.0
USW,1990,2.0,9.0,175.0,255.0,81.0,2.0
USW,1991,,,,,,
USW,1992,2.0,6.0,265.0,273.0,9.0,2.0
USW,1993,3.0,9.0,165.0,224.0,60.0,3.0
USW,1994,2.0,6.0,175.0,216.0,42.0,1.0
USW,1995,3.0,10.0,207.0,219.0,13.0,3.0
USW,1996,4.0,12.0,131.0,213.0,83.0,1.0
USW,1997,2.0,6.0,125.0,138.0,14.0,3.0
USW,1998,4.0,16.0,191.0,262.0,72.0,2.0
USW,1999,,,,,,
USW,2000,6.0,20.0,141.0,260.0,120.0,2.0
