anio,rapido_pct_tierra,moderado_pct_tierra,lento_pct_tierra,area_afectada_pct_tierra,rapido_pct_area_afectada,moderado_pct_area_afectada,lento_pct_area_afectada
1979,8.541,29.527,14.156,52.223,16.354,56.539,27.107
1980,8.059,30.541,14.983,53.583,15.04,56.997,27.963
1981,7.48,28.703,14.487,50.67,14.762,56.647,28.591
1982,8.922,30.333,15.264,54.518,16.364,55.638,27.997
1983,8.716,32.117,14.952,55.785,15.624,57.574,26.803
1984,8.698,28.879,13.329,50.905,17.086,56.73,26.184
1985,6.133,24.489,12.444,43.066,14.24,56.865,28.895
1986,7.878,30.639,14.627,53.144,14.824,57.653,27.523
1987,11.876,37.308,17.551,66.736,17.796,55.905,26.299
1988,8.535,34.523,16.028,59.087,14.445,58.429,27.126
1989,7.735,31.946,15.593,55.274,13.993,57.796,28.211
1990,9.074,33.365,16.799,59.239,15.317,56.324,28.359
1991,8.582,34.89,17.284,60.755,14.125,57.427,28.448
1992,6.418,28.704,14.635,49.757,12.898,57.689,29.414
1993,8.145,29.147,12.729,50.021,16.284,58.269,25.448
1994,9.052,34.907,17.237,61.196,14.792,57.042,28.166
1995,9.569,37.821,17.948,65.338,14.645,57.886,27.469
1996,8.69,34.36,15.598,58.648,14.817,58.586,26.596
1997,10.931,40.682,18.268,69.88,15.642,58.217,26.141
1998,11.396,41.431,22.123,74.949,15.205,55.278,29.517
1999,8.99,34.597,17.092,60.679,14.816,57.016,28.168
2000,8.8,37.86,16.061,62.721,14.031,60.363,25.606
2001,10.065,41.253,18.906,70.224,14.332,58.745,26.923
2002,11.744,44.04,21.662,77.446,15.164,56.866,27.971
2003,10.279,41.654,18.795,70.728,14.533,58.893,26.574
2004,10.134,38.135,19.523,67.793,14.948,56.253,28.799
2005,10.959,44.725,21.162,76.845,14.261,58.201,27.538
2006,11.706,44.597,21.825,78.128,14.983,57.082,27.935
2007,10.777,38.997,19.776,69.551,15.496,56.07,28.434
2008,10.763,39.321,18.422,68.505,15.711,57.398,26.891
2009,12.746,44.293,22.668,79.706,15.991,55.57,28.439
2010,11.31,42.751,20.265,74.326,15.217,57.518,27.264
2011,11.948,43.436,18.903,74.287,16.083,58.471,25.446
2012,13.083,43.019,21.316,77.418,16.899,55.567,27.534
2013,12.112,44.209,19.917,76.238,15.887,57.989,26.124
2014,12.414,47.119,22.513,82.046,15.13,57.43,27.44
2015,13.687,50.604,26.137,90.427,15.136,55.96,28.903
2016,13.492,48.679,22.54,84.711,15.927,57.465,26.608
2017,13.378,48.172,21.855,83.405,16.04,57.757,26.203
2018,11.882,48.976,22.658,83.517,14.228,58.642,27.13
2019,14.296,50.985,25.08,90.361,15.821,56.424,27.755
2020,13.265,48.394,22.949,84.607,15.679,57.198,27.124
2021,13.577,47.738,23.86,85.175,15.94,56.047,28.013
2022,13.07,48.145,22.608,83.823,15.592,57.437,26.971
2023,15.236,53.885,26.865,95.987,15.874,56.138,27.988
