t_gpx_s,log,fase,voltaje_v,corriente_a,potencia_w,rapidez_odometria_mps,temp_motor_max_c,temp_cuerpo_c
-468.99,1,antes,67.03,0.856,57.38,0.0,26,40
-467.98,1,antes,66.96,0.843,56.45,0.0,26,40
-466.97,1,antes,67.39,0.844,56.88,0.0,26,40
-465.97,1,antes,67.55,0.827,55.86,0.0,26,41
-464.97,1,antes,67.09,0.843,56.56,0.0,26,41
-463.95,1,antes,67.26,1.187,79.84,0.0,26,39
-462.94,1,antes,67.71,1.125,76.17,0.0,26,38
-461.94,1,antes,67.52,0.954,64.41,0.0,26,40
-460.94,1,antes,67.22,0.883,59.36,0.0,27,40
-459.94,1,antes,67.35,0.883,59.47,0.0,27,38
-458.94,1,antes,67.16,0.957,64.27,0.0,27,39
-457.94,1,antes,67.32,0.97,65.3,0.0,27,40
-456.92,1,antes,67.13,0.939,63.04,0.0,27,39
-455.92,1,antes,67.65,0.944,63.86,0.0,27,39
-454.92,1,antes,67.35,0.971,65.4,0.0,27,39
-453.91,1,antes,67.19,2.994,201.17,0.008,27,39
-452.91,1,antes,66.64,2.902,193.39,0.021,28,40
-451.9,1,antes,66.9,2.961,198.09,0.016,28,38
-450.9,1,antes,66.83,2.487,166.21,0.008,28,39
-449.9,1,antes,67.06,2.127,142.64,0.03,28,39
-448.9,1,antes,67.22,1.945,130.74,0.017,28,38
-447.9,1,antes,67.03,1.816,121.73,0.012,28,38
-446.9,1,antes,66.7,1.812,120.86,0.001,28,38
-445.9,1,antes,67.26,1.923,129.34,0.0,28,39
-444.86,1,antes,67.45,1.916,129.23,0.031,29,39
-443.86,1,antes,67.13,1.657,111.23,0.003,29,39
-442.86,1,antes,67.19,1.531,102.87,0.0,28,38
-441.86,1,antes,66.83,1.409,94.16,0.0,29,39
-440.86,1,antes,67.48,1.514,102.16,0.001,29,39
-439.86,1,antes,67.32,1.517,102.12,0.001,28,39
-438.86,1,antes,67.26,1.542,103.71,0.001,28,39
-437.86,1,antes,67.29,1.67,112.37,0.001,29,40
-436.86,1,antes,67.52,1.672,112.89,0.001,28,40
-435.86,1,antes,67.61,1.559,105.4,0.001,29,40
-434.86,1,antes,67.03,1.566,104.97,0.001,29,40
-433.86,1,antes,67.22,1.725,115.95,0.001,29,39
-432.86,1,antes,67.35,5.781,389.35,1.466,29,39
-431.86,1,antes,67.19,2.22,149.16,0.084,29,39
-430.86,1,antes,66.87,1.849,123.64,0.013,29,40
-429.86,1,antes,67.09,1.753,117.61,0.002,29,39
-428.85,1,antes,66.9,1.595,106.71,0.001,29,40
-427.85,1,antes,67.19,1.673,112.41,0.001,29,39
-426.85,1,antes,67.35,1.672,112.61,0.001,29,39
-425.85,1,antes,67.22,1.706,114.68,0.003,29,40
-424.85,1,antes,66.93,1.755,117.46,0.001,29,39
-423.85,1,antes,67.16,1.724,115.78,0.002,29,40
-422.85,1,antes,67.29,1.478,99.45,0.011,29,39
-421.85,1,antes,66.87,1.467,98.1,0.0,29,39
-420.85,1,antes,67.22,1.398,93.97,0.0,29,39
-419.85,1,antes,67.26,1.383,93.02,0.001,29,41
-418.85,1,antes,66.96,1.445,96.76,0.001,29,40
-417.85,1,antes,67.39,1.536,103.51,0.001,29,39
-416.85,1,antes,67.19,1.501,100.85,0.002,29,39
-415.85,1,antes,67.16,1.488,99.93,0.001,29,39
-414.85,1,antes,67.35,1.618,108.97,0.001,29,39
-413.84,1,antes,67.16,1.691,113.57,0.0,29,40
-412.84,1,antes,66.9,1.787,119.55,0.001,30,40
-411.84,1,antes,67.03,1.856,124.41,0.001,30,41
-410.84,1,antes,67.0,1.752,117.38,0.001,29,39
-409.84,1,antes,67.09,1.63,109.36,0.001,30,40
-408.84,1,antes,67.55,1.779,120.17,0.046,30,40
-407.84,1,antes,67.32,3.035,204.32,0.075,30,40
-406.84,1,antes,67.13,1.87,125.53,0.093,29,39
-405.84,1,antes,66.96,1.875,125.55,0.004,29,40
-404.84,1,antes,67.32,1.731,116.53,0.001,29,39
-403.84,1,antes,67.48,1.536,103.65,0.002,29,38
-402.84,1,antes,67.03,1.545,103.56,0.001,30,39
-401.84,1,antes,66.93,1.52,101.73,0.001,30,39
-400.84,1,antes,67.39,1.593,107.35,0.001,30,40
-399.84,1,antes,67.0,2.058,137.89,0.096,30,41
-398.84,1,antes,66.64,2.365,157.6,0.054,30,39
-397.84,1,antes,67.42,1.563,105.38,0.069,30,39
-396.84,1,antes,67.0,1.568,105.06,0.007,30,39
-395.84,1,antes,67.58,1.651,111.57,0.002,30,41
-394.84,1,antes,67.16,1.703,114.37,0.002,30,39
-393.84,1,antes,67.35,1.783,120.09,0.002,30,39
-392.84,1,antes,66.77,1.693,113.04,0.001,30,39
-391.84,1,antes,66.67,1.527,101.81,0.001,30,40
-390.84,1,antes,67.32,1.543,103.87,0.002,31,39
-389.84,1,antes,67.09,1.55,103.99,0.001,31,39
-388.84,1,antes,67.0,1.52,101.84,0.001,31,40
-387.84,1,antes,67.06,1.475,98.91,0.001,31,40
-386.84,1,antes,66.67,1.335,89.0,0.001,31,39
-385.84,1,antes,67.0,1.286,86.16,0.001,31,39
-384.84,1,antes,67.26,1.41,94.84,0.001,31,39
-383.84,1,antes,67.22,1.482,99.62,0.001,31,39
-382.84,1,antes,67.39,1.572,105.94,0.001,31,40
-381.84,1,antes,67.26,1.616,108.69,0.0,31,39
-380.84,1,antes,67.48,1.536,103.65,0.001,31,40
-379.84,1,antes,67.55,1.562,105.51,0.001,31,40
-378.84,1,antes,67.09,1.574,105.6,0.0,31,40
-377.84,1,antes,67.06,1.6,107.3,0.001,31,39
-376.84,1,antes,66.8,1.681,112.29,0.001,31,41
