cadena,gamma_Nm,tau_anios,k_em,chi_ms,prob
A,9.3544e+18,15.476,0.45977,0.25644,0.43956
A,1.297e+19,7.3756,0.41872,0.30102,0.32217
A,1.1959e+19,8.6773,0.93812,0.19142,0.63253
A,1.4777e+19,16.597,1.7417,0.3102,0.30036
A,1.2034e+19,7.4352,0.38844,0.29128,0.34626
A,1.6259e+19,5.9459,0.51048,0.20255,0.59879
A,5.861e+18,30.013,0.37116,0.19883,0.61008
A,1.138e+19,17.003,0.82112,0.28566,0.3606
A,1.2966e+19,18.37,1.4072,0.19455,0.62306
A,1.5174e+19,6.4983,0.71411,0.30561,0.31117
A,1.2604e+19,8.7898,0.77423,0.30813,0.30518
A,1.4319e+19,30.485,1.3943,0.29601,0.33444
A,1.1592e+19,13.317,0.78049,0.22237,0.53896
A,1.0133e+19,9.9462,0.53965,0.295,0.33694
A,1.3889e+19,10.391,1.2936,0.25386,0.44685
A,9.5577e+18,8.2785,0.31615,0.14256,0.77567
A,1.2677e+19,4.9818,0.31701,0.27436,0.39028
A,1.8026e+19,13.978,3.2158,0.26583,0.41342
A,1.1242e+19,9.3239,0.45829,0.28991,0.34974
A,7.2937e+18,14.297,0.57473,0.25839,0.43405
A,8.8131e+18,9.6686,0.41436,0.26314,0.42083
A,1.4114e+19,23.184,2.1464,0.24117,0.48333
A,1.4346e+19,11.016,1.0217,0.28933,0.3512
A,1.6582e+19,18.524,2.0672,0.25153,0.45346
A,9.1224e+18,26.909,0.79744,0.30449,0.31383
A,1.0265e+19,9.9893,0.71686,0.24064,0.48487
A,9.6485e+18,7.2621,0.32945,0.2298,0.51681
A,6.7264e+18,17.596,0.32782,0.29969,0.32541
A,5.2111e+18,21.213,0.22213,0.28131,0.37187
A,1.2354e+19,12.539,1.895,0.28496,0.36239
A,1.7125e+19,7.0896,0.90579,0.27127,0.39858
A,8.2639e+18,13.498,0.54473,0.25675,0.43867
A,1.5014e+19,10.945,1.6746,0.20218,0.59992
A,2.2603e+19,17.914,3.8896,0.30323,0.31685
A,1.0438e+19,15.295,0.9261,0.29817,0.32913
A,8.9603e+18,9.8883,0.52289,0.15497,0.74067
A,7.5682e+18,24.963,0.30278,0.29711,0.33173
A,7.4031e+18,21.177,0.87078,0.24483,0.47272
A,1.0142e+19,11.252,1.2594,0.18687,0.64629
A,1.1727e+19,8.6501,0.63459,0.21807,0.55187
A,1.0416e+19,10.12,0.46348,0.3084,0.30457
A,1.5875e+19,5.5934,0.17569,0.30359,0.31598
A,1.4236e+19,6.0339,0.23702,0.27765,0.38152
A,6.4573e+18,15.765,0.0099847,0.29509,0.33674
A,6.8124e+18,43.258,0.73775,0.30167,0.32059
A,9.6922e+18,64.973,1.4518,0.27286,0.39429
A,1.2361e+19,27.13,2.4387,0.30867,0.30394
A,9.5001e+18,7.7614,0.0086944,0.18212,0.6606
A,4.3672e+18,30.666,0.32882,0.30951,0.30197
A,1.1176e+19,8.2616,0.45822,0.29266,0.34279
A,1.4081e+19,8.4878,1.0692,0.29456,0.33805
A,1.1527e+19,12.292,0.93774,0.24583,0.46982
A,5.6441e+18,31.267,0.45433,0.21232,0.56923
A,1.5452e+19,13.54,1.3433,0.13181,0.80478
A,9.8438e+18,9.63,1.1838,0.19027,0.63603
A,1.0504e+19,46.864,1.5756,0.28854,0.3532
A,1.2028e+19,12.007,0.71024,0.24452,0.47361
A,9.1086e+18,10.266,1.012,0.14954,0.75613
A,9.4083e+18,44.758,1.4767,0.1973,0.61472
A,1.2292e+19,63.466,1.7341,0.27678,0.38381
A,1.5066e+19,11.604,1.7761,0.29685,0.33237
