exp_id,horno,composicion,temperatura_c,masa_inicial_mg,he_min,he_masa_con_portador_mg,he_perdida_masa_mg,he_agua_mg,he_agua_marca,h2_min,h2_masa_con_portador_mg,h2_perdida_masa_mg,h2_agua_mg,h2_perdida_marca,h2_agua_marca,masa_final_con_portador_mg
E01,ERH,MORB,1200,101.4,60.0,587.3,2.4,0.81,*,60.0,584.9,4.5,0.8,,**,580.4
E02,ERH,MORB,1200,100.4,180.0,570.5,6.2,0.8,*,180.0,564.3,4.8,0.82,,**,559.5
E03,ERH,MORB,1300,103.1,60.0,634.9,3.2,0.83,*,60.0,631.7,3.2,2.27,,**,628.5
E04,ERH,MORB,1300,100.5,180.0,765.5,4.2,0.8,*,180.0,761.3,4.3,2.24,,**,757.0
E05,ERH,Synthetic MORB,1250,531.0,60.0,1552.2,50.2,,,60.0,98.9,19.0,,,,79.9
E06,IH,MORB,1200-1450,500.6,15.0,2771.1,7.1,4.0,#,15.0,2764.0,8.8,8.2,#,,2755.0
E07,IH,MORB,1200-1450,802.1,15.0,2981.4,17.5,5.7,#,15.0,2963.9,21.2,19.8,#,,2942.8
E08,IH,MORB,1200-1450,1000.7,15.0,3136.1,16.0,7.3,#,15.0,3120.1,21.0,20.3,#,,3100.9
E09,IH,Picrobasalt,1200-1450,500.4,15.0,2469.0,5.0,1.85,#,15.0,2464.0,3.0,3.0,#,,2461.0
E10,IH,Picrobasalt,1200-1450,800.3,15.0,2595.5,8.1,3.3,#,15.0,2587.4,24.2,15.1,#,,2563.2
E11,IH,Picrobasalt,1200-1450,1000.1,15.0,3138.3,8.2,3.7,#,15.0,3130.1,14.6,12.5,#,,3115.5
