temperatura_c,horas,fase,Fe_mean,Fe_std,Fe_count,Mg_mean,Mg_std,Mg_count,P_mean,P_std,P_count,S_mean,S_std,S_count,Na_mean,Na_std,Na_count,Si_mean,Si_std,Si_count,W_mean,W_std,W_count,TOTAL_mean,TOTAL_std,TOTAL_count
0.0,0.0,MORB_inicial,9.9221,0.0419,5,2.19,0.0242,5,0.1822,0.0218,5,0.1307,0.0201,5,3.089,0.0476,5,24.0936,0.1299,5,,,0,96.2401,0.4568,5
0.0,0.0,MORB_sintetico,9.45,0.117,5,5.238,0.0268,5,,,0,,,0,,,0,22.622,0.2585,5,,,0,98.576,0.3573,5
0.0,0.0,picrobasalto_anhidro,8.9443,0.8574,5,12.1469,3.7216,5,0.066,0.0197,5,0.0262,0.0241,5,1.8182,0.4548,5,22.5032,0.9069,5,,,0,98.0027,1.689,5
1200.0,1.0,metal,88.65,4.2688,5,0.0027,0.0061,5,0.5754,0.2932,5,0.0209,0.0113,5,0.0209,0.0467,5,0.0924,0.1549,5,8.3885,4.2163,5,98.1346,0.8366,5
1200.0,1.0,silicato_tras_H2,8.3958,1.4309,3,2.3387,0.378,3,0.1712,0.0297,3,0.0513,0.042,3,1.7633,0.4825,3,26.4501,1.6197,3,0.2361,0.0093,3,99.6112,0.5953,3
1200.0,1.0,vidrio_anhidro,10.5313,0.1067,3,2.3404,0.0788,3,0.2032,0.0057,3,0.0966,0.0023,3,1.9395,0.0737,3,25.1669,0.1864,3,0.2882,0.2299,3,99.3173,0.6886,3
1200.0,3.0,metal,87.5563,5.8999,3,0.0,0.0,3,0.659,0.452,3,0.0185,0.0093,3,0.0025,0.0044,3,0.078,0.1032,3,9.147,5.6918,3,97.7973,0.7891,3
1200.0,3.0,silicato_tras_H2,7.8331,2.1511,5,2.408,0.5398,5,0.1682,0.0769,5,0.0477,0.0268,5,1.6753,0.445,5,26.2482,1.7861,5,0.4699,0.6535,5,98.7446,2.0764,5
1200.0,3.0,vidrio_anhidro,10.1329,0.3891,3,2.2297,0.0977,3,0.181,0.0039,3,0.0705,0.0213,3,1.9066,0.045,3,24.659,0.3491,3,1.8473,0.9207,3,98.7173,0.8825,3
1300.0,1.0,metal,95.246,1.9199,3,0.029,0.0502,3,0.9886,0.778,3,0.2958,0.4836,3,0.0579,0.1003,3,0.8398,1.132,3,0.5801,0.7091,3,98.701,0.2848,3
1300.0,1.0,silicato_tras_H2,3.3619,1.8892,4,2.2633,1.0949,4,0.0049,0.0066,4,0.0127,0.0127,4,1.3888,0.6658,4,28.8215,2.5307,4,0.0657,0.0156,4,97.2975,5.0038,4
1300.0,1.0,vidrio_anhidro,10.3116,0.1334,3,2.2972,0.0186,3,0.1529,0.0299,3,0.0602,0.0209,3,2.006,0.0233,3,24.7813,0.1305,3,1.1384,0.3045,3,98.6467,0.3292,3
1300.0,3.0,metal,91.3516,3.0419,4,0.1424,0.2584,4,1.5459,1.0418,4,0.4396,0.3603,4,0.1263,0.2344,4,0.8107,0.8544,4,1.4078,2.3049,4,96.861,0.8551,4
1300.0,3.0,silicato_tras_H2,3.0698,1.2192,6,3.4921,1.0335,6,0.0167,0.0136,6,0.0092,0.0053,6,1.9752,0.0589,6,27.6984,3.386,6,0.0612,0.0207,6,97.7726,2.0814,6
1300.0,3.0,vidrio_anhidro,10.1416,0.0788,5,2.262,0.023,5,0.1846,0.011,5,0.0725,0.0127,5,1.7828,0.0817,5,24.6749,0.3338,5,2.0731,0.5008,5,99.2028,0.2731,5
