gene_label,status_cam9_208,status_vk382,status_vk388,status_vk470,status_vk281,lineage_group
B23R;B24R/C17L;C18L,Possibly inactive,Stop,Stop,Stop,Stop,aVARV+CAM9+mVARV
20088,Possibly inactive,Stop,Stop,Stop,Stop,aVARV+CAM9+mVARV
26765,Possibly inactive,Stop,Stop,Stop,Stop,aVARV+CAM9+mVARV
C8L,Possibly inactive,Stop,Stop,Stop,Stop,aVARV+CAM9+mVARV
A25L,Inactive,Stop,Stop,Stop,Stop,aVARV+CAM9+mVARV
A37R,Possibly inactive,Stop,Stop,Stop,Stop,aVARV+CAM9+mVARV
A39R,Inactive,Stop,Stop,Stop,Stop,aVARV+CAM9+mVARV
A44L,Inactive,Stop,Stop,Stop,Stop,aVARV+CAM9+mVARV
A53R,Possibly inactive,Stop,Stop,Stop,Stop,aVARV+CAM9+mVARV
B2R;B3R,Inactive,Stop,Stop,Stop,Stop,aVARV+CAM9+mVARV
B12R,Possibly inactive,Stop,Stop,Stop,Stop,aVARV+CAM9+mVARV
193435*,Inactive,Stop,Stop,noCoverage,noCoverage,aVARV+CAM9+mVARV
C13L;C14L,Possibly inactive,Stop,Stop,Stop,Stop,aVARV+CAM9+mVARV
215231,Absent,Stop,Stop,Stop,Stop,aVARV+CAM9+mVARV
B16R,Inactive,Stop,Stop,Stop,Stop,aVARV+CAM9+mVARV
C9L,Inactive,Stop,Stop,Stop,UncertainStop,aVARV+CAM9+mVARV
A9L,Possibly intact,UncertainFunction,UncertainFunction,Stop,Stop,Undetermined
A52R,Possibly inactive,Stop,Stop,UncertainStop,Stop,aVARV+CAM9+mVARV
202711,Inactive,Stop,Stop,Stop,UncertainStop,aVARV+CAM9+mVARV
8281,Absent,noCoverage,noCoverage,noCoverage,noCoverage,aVARV+CAM9+mVARV
8318,Absent,noCoverage,noCoverage,noCoverage,noCoverage,aVARV+CAM9+mVARV
9217,Absent,noCoverage,noCoverage,noCoverage,noCoverage,aVARV+CAM9+mVARV
10160,Absent,noCoverage,noCoverage,noCoverage,noCoverage,aVARV+CAM9+mVARV
12346,Absent,noCoverage,noCoverage,noCoverage,noCoverage,aVARV+CAM9+mVARV
12699,Absent,noCoverage,noCoverage,noCoverage,noCoverage,aVARV+CAM9+mVARV
14342,Absent,noCoverage,noCoverage,noCoverage,noCoverage,aVARV+CAM9+mVARV
14947,Absent,noCoverage,noCoverage,noCoverage,noCoverage,aVARV+CAM9+mVARV
15374,Absent,noCoverage,noCoverage,noCoverage,noCoverage,aVARV+CAM9+mVARV
18018,Absent,noCoverage,noCoverage,noCoverage,noCoverage,aVARV+CAM9+mVARV
19440,Absent,noCoverage,noCoverage,noCoverage,noCoverage,aVARV+CAM9+mVARV
K4L,Absent,noCoverage,noCoverage,noCoverage,noCoverage,aVARV+CAM9+mVARV
K6L;K5L,Absent,noCoverage,noCoverage,noCoverage,noCoverage,aVARV+CAM9+mVARV
B9R,Absent,noCoverage,noCoverage,noCoverage,noCoverage,aVARV+CAM9+mVARV
B10R,Absent,noCoverage,noCoverage,noCoverage,noCoverage,aVARV+CAM9+mVARV
B11R,Absent,noCoverage,noCoverage,noCoverage,noCoverage,aVARV+CAM9+mVARV
202819,Absent,noCoverage,noCoverage,noCoverage,noCoverage,aVARV+CAM9+mVARV
C15L/B21R,Absent,noCoverage,noCoverage,noCoverage,noCoverage,aVARV+CAM9+mVARV
213858,Absent,noCoverage,noCoverage,noCoverage,noCoverage,aVARV+CAM9+mVARV
C5L,Possibly intact,Present,Present,Present,Present,mVARV
E7R,Possibly intact,Present,Present,Present,Present,mVARV
B6R,Possibly intact,Present,Present,Present,Present,mVARV
B7R,Possibly inactive,Present,Present,Present,Present,CAM9+mVARV
CrmE,Absent,Present,Present,Present,Present,CAM9+mVARV
22682,Possibly intact,Stop,Stop,Present,Present,Undetermined
C2L,Inactive,Present,Present,Stop,Stop,CAM9+mVARV
K1L,Inactive,Present,Present,Stop,Stop,CAM9+mVARV
F3L,Inactive,Present,Present,Stop,UncertainStop,CAM9+mVARV
A35R,Possibly inactive,Stop,Present,Present,Stop,CAM9+mVARV
A40R,Possibly inactive,Present,Stop,noCoverage,noCoverage,CAM9+mVARV
168145,Possibly inactive,Present,Present,Stop,Stop,CAM9+mVARV
A55R,Inactive,Present,Present,UncertainStop,Present,CAM9+mVARV
A57R,Inactive,Present,Present,Stop,Stop,CAM9+mVARV
CrmB (B28R/C22),Possibly intact,ND,Stop,Stop,Stop,aVARV
 C1L,Possibly intact,Present,Stop,Present,Present,aVARV
 E5R,Possibly intact,Stop,Present,Stop,Stop,aVARV
 F10L,Possibly intact,Present,Present,Present,UncertainStop,aVARV
I8R,Possibly intact,Present,Present,Present,UncertainStop,aVARV
 B20R,Possibly intact,Present,Present,Present,UncertainStop,aVARV
210863,Possibly intact,Present,Present,Present,UncertainStop,aVARV
C23L/B29R,Possibly intact,ND,ND,ND,ND,Intact
C19;C20L/B25/B27R,Possibly intact,ND,ND,ND,ND,Intact
C16L/B22R,Possibly intact,ND,ND,ND,ND,Intact
C11R,Possibly intact,Present,Present,Present,Present,Intact
C10L,Possibly intact,Present,Present,Present,Present,Intact
26154,Possibly intact,Present,Present,Present,Present,Intact
26324,Possibly intact,Present,Present,Present,Present,Intact
28912,Possibly intact,Present,Present,Present,Present,Intact
C7L,Possibly intact,Present,Present,Present,Present,Intact
32306,Unknown,Present,Present,Present,Present,Undetermined
C6L,Possibly intact,Present,Present,Present,Present,Intact
C4L,Possibly intact,Present,Present,Present,Present,Intact
C3L,Possibly intact,Present,Present,Present,Present,Intact
N1L,Possibly intact,Present,Present,Present,Present,Intact
N2L,Possibly intact,Present,Present,Present,Present,Intact
M1L,Possibly intact,Present,Present,Present,Present,Intact
M2L,Possibly intact,Present,Present,Present,Present,Intact
K2L,Possibly intact,Present,Present,Present,Present,Intact
K3L,Possibly intact,Present,Present,Present,Present,Intact
K7R,Possibly intact,Present,Present,Present,Present,Intact
F1L,Possibly intact,Present,Present,Present,Present,Intact
F2L,Possibly intact,Present,Present,Present,Present,Intact
F4L,Possibly intact,Present,Present,Present,Present,Intact
F5L,Possibly intact,Present,Present,Present,Present,Intact
F6L,Possibly intact,Present,Present,Present,Present,Intact
F7L,Possibly intact,Present,Present,Present,Present,Intact
F8L,Possibly intact,Present,Present,Present,Present,Intact
F9L,Possibly intact,Present,Present,Present,Present,Intact
F11L,Possibly intact,Present,Present,Present,Present,Intact
F12L,Possibly intact,Present,Present,Present,Present,Intact
F13L,Possibly intact,Present,Present,Present,Present,Intact
F14L,Possibly inactive,Present,Present,Present,Present,CAM9
F14.5L,Possibly intact,Present,Present,Present,Present,Intact
F15L,Possibly intact,Present,Present,Present,Present,Intact
F16L,Possibly intact,Present,Present,Present,Present,Intact
E1L,Possibly intact,Present,Present,Present,Present,Intact
F17R,Possibly intact,Present,Present,Present,Present,Intact
E2L,Possibly intact,Present,Present,Present,Present,Intact
E3L,Possibly intact,Present,Present,Present,Present,Intact
E4L,Possibly intact,Present,Present,Present,Present,Intact
E6R,Possibly intact,Present,Present,Present,Present,Intact
E8R,Possibly intact,Present,Present,Present,Present,Intact
E9L,Possibly intact,Present,Present,Present,Present,Intact
E11L,Possibly intact,Present,Present,Present,Present,Intact
E10R,Possibly intact,Present,Present,Present,Present,Intact
O1L,Possibly intact,Present,Present,Present,Present,Intact
O2L,Possibly intact,Present,Present,Present,Present,Intact
75977,Possibly intact,Present,Present,Present,Present,Intact
I1L,Possibly intact,Present,Present,Present,Present,Intact
I2L,Possibly intact,Present,Present,Present,Present,Intact
I3L,Possibly intact,Present,Present,Present,Present,Intact
I4L,Possibly intact,Present,Present,Present,Present,Intact
I5L,Possibly intact,Present,Present,Present,Present,Intact
I6L,Possibly intact,Present,Present,Present,Present,Intact
I7L,Possibly intact,Present,Present,Present,Present,Intact
G1L,Possibly intact,Present,Present,Present,Present,Intact
G3L,Possibly inactive,Present,Present,Present,Present,CAM9
G4L,Possibly intact,Present,Present,Present,Present,Intact
G2R,Possibly intact,Present,Present,Present,Present,Intact
G5R,Possibly intact,Present,Present,Present,Present,Intact
