genome_name,assembly_type,genome_size_mb,busco_complete_pct,completeness_pct,n_contigs,gc_pct,n50_kb,is_representative,taxonomy
FP100002877TR_L01_82,SAG,43.56,81.9,88.9,11478,16.56,5.6,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Dasytrichidae;g__Dasytricha;s__Dasytricha ruminantium
D2114761A,SAG,31.63,82.5,87.2,10421,18.57,3.8,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Dasytrichidae;g__Dasytricha;s__Dasytricha ruminantium
SRR16953743,SAG,19.75,76.6,83,7393,20.21,3.1,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Dasytrichidae;g__Dasytricha;s__Dasytricha ruminantium
FP150000367TR_L01_189,SAG,40.24,84.3,88.4,10588,16.7,5.5,Yes,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Dasytrichidae;g__Dasytricha;s__Dasytricha ruminantium
SRR16953742,SAG,8.67,64.3,68.4,3729,22.4,2.6,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Dasytrichidae;g__Dasytricha;s__Dasytricha ruminantium
FP100002877TR_L01_100,SAG,17.09,74.3,77.8,4167,18.4,5.8,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Dasytrichidae;g__Dasytricha;s__Dasytricha ruminantium
FP100002877TR_L01_66,SAG,10.1,59.1,64.9,3167,20.23,4.1,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Dasytrichidae;g__Dasytricha;s__Dasytricha ruminantium
FP100002877TR_L01_123,SAG,35.42,83.1,90.7,7038,17.22,8.2,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Dasytrichidae;g__Dasytricha;s__Dasytricha ruminantium
H32,SAG,30.1,62.6,66.7,7964,17.01,5.5,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Dasytrichidae;g__Dasytricha;s__Dasytricha ruminantium
FP100002877TR_L01_37,SAG,31.16,84.8,88.9,6049,17.03,8.0,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Dasytrichidae;g__Dasytricha;s__Dasytricha ruminantium
SRR16953749,SAG,18.45,79.0,84.3,7351,20.06,2.9,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Dasytrichidae;g__Dasytricha;s__Dasytricha ruminantium
Dasy3_S38,SAG,57.2,81.3,88.9,21121,18.55,3.2,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Dasytrichidae;g__Dasytricha;s__Dasytricha sp. RCG1
JZ24006095,SAG,17.0,56.2,62.6,5218,30.22,4.3,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Dasytrichidae;g__Dasytricha;s__Dasytricha sp. RCG1
FP100002877TR_L01_68,SAG,41.66,87.1,90,7777,17.75,9.9,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Dasytrichidae;g__Dasytricha;s__Dasytricha sp. RCG1
Dasy1_S27,SAG,47.93,85.4,88.3,17478,18.87,3.4,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Dasytrichidae;g__Dasytricha;s__Dasytricha sp. RCG1
FP100002878TR_L01_125,SAG,28.37,85.4,88.3,4401,18.72,10.8,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Dasytrichidae;g__Dasytricha;s__Dasytricha sp. RCG1
FP100002877TR_L01_95,SAG,36.04,86.6,90.1,5845,18.13,11.7,Yes,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Dasytrichidae;g__Dasytricha;s__Dasytricha sp. RCG1
FP100002877TR_L01_78,SAG,34.02,85.4,88.9,5563,18.1,10.5,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Dasytrichidae;g__Dasytricha;s__Dasytricha sp. RCG1
Dasy2_S9,SAG,50.78,84.8,88.3,17153,18.86,3.8,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Dasytrichidae;g__Dasytricha;s__Dasytricha sp. RCG1
co-rumen_bin809,MAG,16.27,52.6,57.3,2685,19.82,7.9,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Dasytrichidae;g__Dasytricha;s__Dasytricha sp. RCG1
co-rumen_bin601,MAG,11.09,53.2,59.6,3782,22.75,3.1,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Dasytrichidae;g__Dasytricha;s__Dasytricha sp. RCG1
co-rumen_bin984,MAG,12.21,49.7,53.8,4135,21.31,3.1,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Dasytrichidae;g__Dasytricha;s__Dasytricha sp. RCG1
co-rumen_bin1561,MAG,15.93,49.1,56.7,2590,19.43,8.0,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Dasytrichidae;g__Dasytricha;s__Dasytricha sp. RCG1
T2202233889,SAG,36.14,85.4,89.5,6602,16.72,9.2,Yes,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Dasytrichidae;g__Dasytricha;s__Dasytricha sp. RCG2
co-rumen_bin353,MAG,31.6,81.3,85.4,6229,17.39,6.6,Yes,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Dasytrichidae;g__Dasytricha;s__Dasytricha sp. RCG3
co-rumen_bin544,MAG,17.58,55.6,63.8,5682,19.03,3.3,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Dasytrichidae;g__Dasytricha;s__Dasytricha sp. RCG3
co-rumen_bin697,MAG,17.36,56.7,62.5,4135,18.49,5.1,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Dasytrichidae;g__Dasytricha;s__Dasytricha sp. RCG3
FP150000367TR_L01_182,SAG,49.31,74.9,86.6,19183,16.95,3.0,Yes,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Dasytrichidae;g__Dasytricha;s__Dasytricha sp. RCG4
FP100002877TR_L01_126,SAG,8.58,50.3,58.5,3122,20.27,3.3,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Dasytrichidae;g__Dasytricha;s__Dasytricha sp. RCG5
D2114747A,SAG,10.96,69.0,73.7,4917,21.13,2.4,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Dasytrichidae;g__Dasytricha;s__Dasytricha sp. RCG5
FP100002877TR_L01_80,SAG,44.6,84.8,89.5,11411,16.47,5.9,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Dasytrichidae;g__Dasytricha;s__Dasytricha sp. RCG5
FP100002877TR_L01_51,SAG,40.29,84.8,87.7,8965,16.76,7.2,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Dasytrichidae;g__Dasytricha;s__Dasytricha sp. RCG5
T2111217724,SAG,36.33,84.3,88.4,7725,16.94,7.1,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Dasytrichidae;g__Dasytricha;s__Dasytricha sp. RCG5
FP100002877TR_L01_38,SAG,37.35,86.0,88.3,8196,21.86,6.8,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Dasytrichidae;g__Dasytricha;s__Dasytricha sp. RCG5
FP100002877TR_L01_97,SAG,35.01,86.6,88.4,7175,16.85,7.6,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Dasytrichidae;g__Dasytricha;s__Dasytricha sp. RCG5
FP100002877TR_L01_39,SAG,32.91,84.2,87.7,6578,16.99,8.0,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Dasytrichidae;g__Dasytricha;s__Dasytricha sp. RCG5
co-rumen_bin2805,MAG,28.33,71.4,77.2,7500,16.56,4.5,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Dasytrichidae;g__Dasytricha;s__Dasytricha sp. RCG5
FP100002877TR_L01_88,SAG,16.71,66.0,72.4,4268,17.9,5.6,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Dasytrichidae;g__Dasytricha;s__Dasytricha sp. RCG5
D2114760A,SAG,29.33,84.8,89.5,9461,19.07,3.9,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Dasytrichidae;g__Dasytricha;s__Dasytricha sp. RCG5
D2114779A,SAG,19.72,80.7,85.4,7599,19.89,3.0,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Dasytrichidae;g__Dasytricha;s__Dasytricha sp. RCG5
D2114756A,SAG,31.55,82.4,87.7,10174,18.79,3.9,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Dasytrichidae;g__Dasytricha;s__Dasytricha sp. RCG5
FP100002877TR_L01_99,SAG,44.98,86.6,91.3,10932,16.7,6.5,Yes,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Dasytrichidae;g__Dasytricha;s__Dasytricha sp. RCG5
T2111217722,SAG,42.03,85.3,90,9800,16.65,6.7,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Dasytrichidae;g__Dasytricha;s__Dasytricha sp. RCG5
FP150000366TR_L01_161,SAG,42.58,75.4,83.6,15440,17.03,3.4,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Dasytrichidae;g__Dasytricha;s__Dasytricha sp. RCG5
FP100002877TR_L01_58,SAG,35.66,86.0,88.3,7039,16.73,8.5,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Dasytrichidae;g__Dasytricha;s__Dasytricha sp. RCG5
D2114772A,SAG,22.57,80.2,84.9,8005,19.73,3.4,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Dasytrichidae;g__Dasytricha;s__Dasytricha sp. RCG5
co-rumen_bin49,MAG,21.02,56.2,67.9,9463,18.58,2.5,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Dasytrichidae;g__Dasytricha;s__Dasytricha sp. RCG5
FP100002877TR_L01_90,SAG,25.91,75.4,78.9,4613,16.88,9.4,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Dasytrichidae;g__Dasytricha;s__Dasytricha sp. RCG5
co-rumen_bin1856,MAG,24.16,68.4,74.2,6281,30.35,4.5,Yes,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Dasytrichidae;g__Dasytricha;s__Dasytricha sp. RCG6
D2114755A,SAG,52.13,75.4,83,16816,18.85,3.9,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha intestinalis
FP100001882BL_L01_565,SAG,37.67,68.4,77.8,10110,18.57,5.1,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha intestinalis
D2012694A,SAG,40.49,69.0,79.5,12995,19.13,3.9,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha intestinalis
D2012696A,SAG,10.99,51.5,59.7,4743,21.33,2.6,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha intestinalis
D2012690A,SAG,16.03,53.8,61.4,6158,20.59,3.1,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha intestinalis
D2114739A,SAG,44.04,76.7,85.5,14735,19.19,3.7,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha intestinalis
FP100001882BL_L01_564,SAG,44.93,68.4,75.4,11920,18.41,5.2,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha intestinalis
D18,SAG,46.17,72.5,78.9,13073,18.47,4.8,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha intestinalis
cell-25D-2,SAG,42.76,64.4,67.3,6165,18.08,11.5,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha intestinalis
T2202233859,SAG,63.41,85.9,89.4,9139,18.06,11.9,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha intestinalis
T2202233847,SAG,43.83,64.9,75.4,12998,18.43,4.4,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha intestinalis
co-rumen_bin736,MAG,61.22,83.1,89.5,8620,18.08,10.8,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha intestinalis
co-omasum_bin1336,MAG,48.35,70.8,81.3,14153,18.2,3.8,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha intestinalis
