uniprot_id,gene_name,length_aa,ile_count,val_count,ile_pct
P0AG67,rpsA,557,30,67,5.386
P0A7V3,rpsC,233,18,22,7.725
P62399,rplE,179,14,12,7.821
P0A7V0,rpsB,241,14,17,5.809
P0ADY3,rplN,123,12,14,9.756
P0A7S9,rpsM,118,12,7,10.169
P0A7L0,rplA,234,11,29,4.701
P60422,rplB,273,11,26,4.029
P02413,rplO,144,10,9,6.944
P0A7L3,rplT,118,10,9,8.475
P0A7W1,rpsE,167,10,19,5.988
P0A7J7,rplK,142,9,13,6.338
P61175,rplV,110,9,11,8.182
P0A7W7,rpsH,130,9,12,6.923
P0A7R5,rpsJ,103,9,9,8.738
P0A7R9,rpsK,129,9,10,6.977
P60438,rplC,209,8,28,3.828
P60723,rplD,201,8,21,3.980
P0AG55,rplF,177,8,22,4.520
P0AA10,rplM,142,8,12,5.634
P60624,rplX,104,8,13,7.692
P0A7V8,rpsD,206,8,16,3.883
P0A7K6,rplS,115,7,15,6.087
P0AG48,rplU,103,7,14,6.796
P68919,rplY,94,7,8,7.447
P02358,rpsF,131,7,10,5.344
P0A7X3,rpsI,130,7,10,5.385
P0AG63,rpsQ,84,7,12,8.333
P0A7U7,rpsT,87,7,2,8.046
P0A7K2,rplL,121,6,16,4.959
P0ADY7,rplP,136,6,11,4.412
P0AG44,rplQ,127,6,6,4.724
P0AG51,rpmD,59,6,4,10.169
P0A7T3,rpsP,82,6,8,7.317
P0A7T7,rpsR,75,6,2,8.000
P0A7J3,rplJ,165,5,15,3.030
P0C018,rplR,117,5,10,4.274
P02359,rpsG,179,5,16,2.793
P0ADZ0,rplW,100,4,14,4.000
P0A7L8,rpmA,85,4,6,4.706
P0A7M9,rpmE,70,4,5,5.714
P0AG59,rpsN,101,4,5,3.960
P0A7U3,rpsS,92,4,7,4.348
P0A7Q1,rpmI,65,3,3,4.615
P0A7Q6,rpmJ,38,3,5,7.895
P0A7S3,rpsL,124,3,15,2.419
P0ADZ4,rpsO,89,3,5,3.371
P0A7M2,rpmB,78,2,8,2.564
P0A7N4,rpmF,57,2,4,3.509
P68679,rpsU,71,1,6,1.408
