organismo,tm_score,similitud,longitud,AMAP,AmPEP,iAMP_2L,AMPScanner,ATT,BERT,HMD_AMP
Bacillus thuringiensis serovar entomocidus,0.918,0.277777778,18,0.26954104,0.31375,0.0,0.14954075,0.43537796,0.24395676,0.652875
Butyrivibrium fibrisolvens AR10 (Gram-positive bacteria),0.538,0.103448276,58,0.197553524,0.235,0.333333333,0.00139271,0.002387087,0.021699432,0.98875
"seeds, Coffea canephora Pierre",0.594,0.136363636,22,0.00790483,0.09875,0.0,0.001569552,0.005484084,0.023520587,0.99625
Homo sapiens,0.643,0.053763441,93,0.08097384,0.3325,0.0,0.3411494,0.23236082,0.021329788,1.0
Rana chensinensis (Chinese brown frog),0.729,0.133333333,45,0.124291256,0.48875,0.333333333,0.00210973,0.2580548,0.016924828,0.981375
Pseudomonas sp. strain DF41,0.519,0.181818182,22,0.09552592,0.46625,0.0,0.060648236,0.023676272,0.043744758,0.889375
Rana chensinensis (Chinese brown frog),0.932,0.227272727,22,0.26979134,0.47125,0.333333333,0.052180883,0.061179586,0.39428285,0.615875
bacterial and fungi,0.408,0.31372549,16,0.09998317,0.28625,0.333333333,0.001228878,0.07317405,0.01633573,0.715125
frog,0.845,0.318181818,22,0.118398264,0.31125,0.333333333,0.0080485,0.021432614,0.01166428,0.746125
lentiviruses,0.889,0.178571429,28,0.06309769,0.1125,0.0,0.006417648,0.34285516,0.018294673,0.992875
Streptococcus rattus BHT,0.609,0.129032258,31,0.21723565,0.46875,0.333333333,0.07361357,0.032930944,0.018287098,0.900125
Virus,0.471,0.151515152,33,0.267735074,0.36,0.0,0.04119693,0.014553383,0.05899303,0.657
Virus,0.985,0.151515152,33,0.255483212,0.37,0.0,0.08661241,0.07020849,0.067700796,0.764625
fruit fly,0.47,0.3,40,0.15052997,0.41625,0.333333333,0.03686615,0.13198528,0.065789424,0.941375
unknown,0.77,0.170731707,41,0.009674702,0.33375,0.333333333,0.00249324,0.17986922,0.010696786,0.806375
frog,0.909,0.111111111,45,0.043639608,0.47,0.333333333,0.000660867,0.14964175,0.015629815,0.982375
Butyrivibrio fibrisolvens,0.952,0.104166667,48,0.025512537,0.31,0.0,0.010714152,0.21207248,0.026277186,0.994125
fruit fly,0.632,0.395833333,48,0.061172303,0.3175,0.333333333,0.38713148,0.14171715,0.03078023,0.528
